env,il,cd,dgd,pol,seed_lb,seed_ber,pa_seed,pb_seed,n_steps_requested,n_steps_actual,best_lb,best_ber,best_step,final_lb,final_ber,max_lb,delta_lb_seed_to_best,delta_lb_seed_to_final,trace_spearman_preda_real,trace_spearman_predb_real,best_taps,best_gdc,best_gdc2,early_stop,cloud
Base_IL10,10.0,0.0,0.0,0.0,-3.2569689139226656,0.0005533897185146029,-2.398253239039121,-2.9731290828585433,25,25,-3.4495752610439054,0.00035516056561384963,2,-3.4495752610439054,0.00035516056561384963,-3.388438517689923,-0.1926063471212398,-0.1926063471212398,0.4706787243316417,0.3922322702763681,"[-0.003385, -0.001521, -0.002101, -0.263005, 0.672701, -0.008182, 0.037082, -0.005247, -0.006777]",-0.008259094237752113,-0.00403175085210037,False,
IL_Sweep_14dB,14.0,0.0,0.0,0.0,-2.6825057272315456,0.002077276331439144,-2.401371959076862,-2.9731290828585433,25,25,-3.2602220713203875,0.0005492599444958372,10,-3.2602220713203875,0.0005492599444958372,-2.837531048809342,-0.577716344088842,-0.577716344088842,0.8685398831827104,-0.7054110534264039,"[-0.001988, 0.005628, 0.03744, -0.209078, 0.6612, -0.03739, -0.020833, -0.008708, -0.017734]",-0.03144882186219491,-0.026207843390867205,False,
IL_Worst_20dB,20.0,0.0,0.0,0.0,-1.2354093723052368,0.058155477732258494,-2.3786082947696765,-2.9731290828585433,25,25,-1.8312838620946912,0.01474742302101229,23,-1.8136475339285005,0.015358629575789613,-1.2395617735835343,-0.5958744897894543,-0.5782381616232637,0.9730769230769231,-0.9869230769230769,"[-0.007554, 0.006415, 0.066, -0.207635, 0.550333, -0.08174, -0.0418, -0.012935, -0.025588]",-0.046503621642060726,-0.03997821267864962,False,
CD_Sweep_15ps,10.0,15.0,0.0,0.0,-3.1826765879670216,0.0006566340689837452,-2.398253239039121,-2.9731290828585433,25,25,-3.4495752610439054,0.00035516056561384963,2,-3.4495752610439054,0.00035516056561384963,-3.3797523385048307,-0.26689867307688386,-0.26689867307688386,0.4706787243316417,0.3922322702763681,"[-0.003385, -0.001521, -0.002101, -0.263005, 0.672701, -0.008182, 0.037082, -0.005247, -0.006777]",-0.008259094237752113,-0.00403175085210037,False,
CD_Sweep_28ps,10.0,28.0,0.0,0.0,-3.1587644305616105,0.0006938020351526364,-2.398253239039121,-2.9731290828585433,25,25,-3.4495752610439054,0.00035516056561384963,2,-3.4495752610439054,0.00035516056561384963,-3.3309952688040534,-0.29081083048229495,-0.29081083048229495,0.5333322217828881,0.24589135640309398,"[-0.003385, -0.001521, -0.002101, -0.263005, 0.672701, -0.008182, 0.037082, -0.005247, -0.006777]",-0.008259094237752113,-0.00403175085210037,False,
DGD_Sweep_2ps,10.0,0.0,2.0,45.0,-3.3546899346022636,0.00044188582000792917,-2.398253239039121,-2.9731290828585433,25,25,-3.4495752610439054,0.00035516056561384963,2,-3.4495752610439054,0.00035516056561384963,-3.4109458586877746,-0.09488532644164183,-0.09488532644164183,0.4706787243316417,0.3922322702763681,"[-0.003385, -0.001521, -0.002101, -0.263005, 0.672701, -0.008182, 0.037082, -0.005247, -0.006777]",-0.008259094237752113,-0.00403175085210037,False,
DGD_Sweep_5ps,10.0,0.0,5.0,45.0,-3.3271688609510006,0.000470794238139289,-2.398253239039121,-2.9731290828585433,25,25,-3.4445544596688547,0.0003592903396326153,2,-3.429831202848148,0.0003716796616889124,-3.397301978021228,-0.11738559871785403,-0.10266234189714751,-0.12455047375590553,0.3849741916091626,"[-0.003385, -0.001521, -0.002101, -0.263005, 0.672701, -0.008182, 0.037082, -0.005247, -0.006777]",-0.008259094237752113,-0.00403175085210037,False,
Combined_Stress,20.0,15.0,5.0,45.0,-1.1125108868551676,0.07717721686269327,-2.3786082947696765,-2.9731290828585433,25,25,-1.4587616207878238,0.03477269723800713,22,-1.4567033492484496,0.03493788819875776,-1.1145841178629388,-0.34625073393265615,-0.34419246239328194,0.9761538461538463,-0.9846153846153846,"[-0.007158, 0.006967, 0.066, -0.208055, 0.550864, -0.079841, -0.0418, -0.013789, -0.025526]",-0.04593477904149667,-0.039659847218947004,False,
