env,il_tx,il_rx,cd,dgd,pol,noise_stress,seed_lb,seed_ber,pa_seed,pb_seed,n_steps_requested,n_steps_actual,freeze_extra,best_lb,best_ber,best_step,final_lb,final_ber,max_lb,delta_lb_seed_to_best,delta_lb_seed_to_final,trace_spearman_preda_real,trace_spearman_predb_real,best_taps,best_gdc,best_gdc2,best_gain,seed_gain,early_stop,cloud
Base_IL10x10,10.0,10.0,0.0,0.0,0.0,False,-3.480751658239125,0.0003305585096264241,-2.5544509725564333,-3.550871798449855,15,15,False,-3.751779604972981,0.0001771007478179485,5,-3.67847868722168,0.000209662766869178,-3.665143633331152,-0.2710279467338559,-0.197727028982555,-0.42857142857142855,0.6071428571428571,"[-0.001246, 0.009761, 0.031269, -0.233446, 0.643484, 0.021168, 0.049629, -0.002968, -0.00703]",0.017430288259243174,0.00437615096721047,1.9698708620035912,2.0,False,"{'n': 8, 'seed_lb': -3.022317993160315, 'seed_ber': 0.0009499090095872938, 'real_lb_min': -2.7907345842061266, 'real_lb_max': -0.962490242504265, 'spearman_real_va': 0.14285714285714288, 'spearman_real_vb': 0.7142857142857144, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
IL14x14,14.0,14.0,0.0,0.0,0.0,False,-2.7551129711153712,0.001757466392483056,-2.5648050882301434,-3.550871798449855,15,15,False,-3.0953325682622346,0.0008029110441533681,2,-2.7876873155695097,0.0016304695196787025,-2.784754979061379,-0.34021959714686334,-0.032574344454138426,-0.8785714285714284,0.9571428571428571,"[-0.001662, 0.002888, 0.004797, -0.262629, 0.666919, 0.000543, 0.050369, -0.003474, -0.00672]",0.0024861725031984326,0.00010753579793406075,1.9900332691269011,2.0,False,"{'n': 8, 'seed_lb': -2.5514589210375744, 'seed_ber': 0.0028089310508295213, 'real_lb_min': -2.4002001073831973, 'real_lb_max': -0.894940672458064, 'spearman_real_va': 0.19047619047619052, 'spearman_real_vb': 0.7857142857142858, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
IL20x20,20.0,20.0,0.0,0.0,0.0,False,-1.227509327715586,0.05922303668992993,-2.6094440133469194,-3.550871798449855,15,15,False,-1.2359514330269106,0.0580829367798606,0,-0.956354890432026,0.11057198586687403,-0.956354890432026,-0.00844210531132461,0.2711544372835599,-1.0,0.5535714285714285,"[-0.001617, 0.000632, -0.021049, -0.286554, 0.62344, -0.002522, 0.053804, -0.00423, -0.006153]",-0.00041864000126796334,-0.000565132287556506,1.9978639423415994,2.0,False,"{'n': 8, 'seed_lb': -1.2337049644012634, 'seed_ber': 0.0583841599201222, 'real_lb_min': -1.7643678096143611, 'real_lb_max': -0.4268089081497827, 'spearman_real_va': -0.2142857142857143, 'spearman_real_vb': 0.5714285714285715, 'agree_a': 0.75, 'agree_b': 0.75, 'n_better_than_seed': 2}"
IL20x10_TxHeavy,20.0,10.0,0.0,0.0,0.0,False,-2.4052878605186554,0.003932893077116744,-2.6094440133469194,-3.550871798449855,15,15,False,-2.6170695285886496,0.0024150741610079822,1,-2.4283980508158796,0.0037290821363098227,-2.4283980508158796,-0.2117816680699942,-0.023110190297224165,-0.8785714285714284,0.7642857142857141,"[-0.00151, 0.001736, -0.007987, -0.274209, 0.651606, -0.002463, 0.05007, -0.00406, -0.006358]",-0.0005875226323123924,-0.0008882086124861286,1.9955916233137905,2.0,False,"{'n': 8, 'seed_lb': -2.300541039623618, 'seed_ber': 0.005005632484556054, 'real_lb_min': -2.271088239630603, 'real_lb_max': -0.4270912140704519, 'spearman_real_va': -0.2380952380952381, 'spearman_real_vb': 0.5000000000000001, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
IL10x20_RxHeavy,10.0,20.0,0.0,0.0,0.0,False,-3.0012355739487955,0.0009971590290617392,-2.5544509725564333,-3.550871798449855,15,15,False,-3.2951950097811302,0.0005067631070564484,1,-2.632878250736456,0.0023287440016937547,-2.632878250736456,-0.29395943583233475,0.3683573232123396,-0.9642857142857141,0.9928571428571428,"[-0.001856, 0.002498, -0.00468, -0.27771, 0.641957, 0.005987, 0.054178, -0.004667, -0.006467]",0.0051202212346977095,0.0006705081150098063,1.9897249282828153,2.0,False,"{'n': 8, 'seed_lb': -2.6880878666607595, 'seed_ber': 0.0020507472287212376, 'real_lb_min': -2.4265564381506133, 'real_lb_max': -0.42656868468666276, 'spearman_real_va': 0.5000000000000001, 'spearman_real_vb': 0.6190476190476191, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
IL16x10,16.0,10.0,0.0,0.0,0.0,False,-2.6932713821330387,0.0020264160560207072,-2.605250486184432,-3.550871798449855,15,15,False,-3.034162692112208,0.0009243518353815389,5,-2.8877161792137707,0.0012950419027019093,-2.8358962293335743,-0.34089130997916905,-0.19444479708073192,-0.48214285714285704,0.8785714285714284,"[-0.000913, 0.006643, 0.02116, -0.223688, 0.696751, 0.000459, 0.041053, -0.002423, -0.006909]",0.0034427482526308436,0.00044317872386669653,1.979468059444667,2.0,False,"{'n': 8, 'seed_lb': -2.5292126387993106, 'seed_ber': 0.0029565645221536897, 'real_lb_min': -2.4258697624018613, 'real_lb_max': -0.8952785814458448, 'spearman_real_va': -0.3571428571428572, 'spearman_real_vb': 0.5714285714285715, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
IL10x16,10.0,16.0,0.0,0.0,0.0,False,-3.2900856614097993,0.0005127602358105234,-2.5544509725564333,-3.550871798449855,15,15,False,-3.528530556007237,0.00029612116137103556,2,-3.2952369452721193,0.0005067141763547885,-3.266101186395107,-0.23844489459743778,-0.00515128386232,-0.8678571428571429,0.9642857142857141,"[-0.001802, 0.00412, 0.006819, -0.26616, 0.647831, 0.009706, 0.052625, -0.004252, -0.006684]",0.008217748253195562,0.0014359117840820165,1.9843572899565844,2.0,False,"{'n': 8, 'seed_lb': -2.8230049441384946, 'seed_ber': 0.001503124853968951, 'real_lb_min': -2.5473640793448666, 'real_lb_max': -0.9124337791793151, 'spearman_real_va': 0.3333333333333334, 'spearman_real_vb': 0.6428571428571429, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
CD15ps,10.0,10.0,15.0,0.0,0.0,False,-3.4751548049060648,0.0003348460615123991,-2.5544509725564333,-3.550871798449855,15,15,False,-3.7329264963502187,0.00018495816312359646,4,-3.651386289649869,0.00022315864222645802,-3.6310459233542463,-0.2577716914441539,-0.17623148474380423,-0.6035714285714285,0.7714285714285712,"[-0.001452, 0.007874, 0.023729, -0.243368, 0.645374, 0.017565, 0.050344, -0.003372, -0.006921]",0.01458829086876959,0.0033805481474976206,1.9741659936891875,2.0,False,"{'n': 8, 'seed_lb': -3.0100319467657766, 'seed_ber': 0.0009771653378864258, 'real_lb_min': -2.740807387378708, 'real_lb_max': -0.9502489243285213, 'spearman_real_va': 0.14285714285714288, 'spearman_real_vb': 0.7142857142857144, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
CD28ps,10.0,10.0,28.0,0.0,0.0,False,-3.453670104498665,0.000351827591673463,-2.5544509725564333,-3.550871798449855,15,15,False,-3.7147638352674277,0.00019285733658357945,2,-3.536097491410048,0.0002910063787021334,-3.5341686938976324,-0.26109373076876263,-0.08242738691138296,-0.8035714285714284,0.9392857142857142,"[-0.001802, 0.00412, 0.006819, -0.26616, 0.647831, 0.009706, 0.052625, -0.004252, -0.006684]",0.008217748253195562,0.0014359117840820165,1.9843572899565844,2.0,False,"{'n': 8, 'seed_lb': -2.9969238697085707, 'seed_ber': 0.0010071081958949164, 'real_lb_min': -2.7168806519239124, 'real_lb_max': -0.9275628852830545, 'spearman_real_va': 0.11904761904761905, 'spearman_real_vb': 0.5714285714285715, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
DGD2ps,10.0,10.0,0.0,2.0,45.0,False,-3.5855657710702324,0.00025967744470475554,-2.5544509725564333,-3.550871798449855,15,15,False,-3.7539887099359874,0.0001762021851923221,4,-3.6520570159182975,0.00022281426105855343,-3.6520570159182975,-0.168422938865755,-0.06649124484806501,-0.8035714285714284,0.8857142857142855,"[-0.001452, 0.007874, 0.023729, -0.243368, 0.645374, 0.017565, 0.050344, -0.003372, -0.006921]",0.01458829086876959,0.0033805481474976206,1.9741659936891875,2.0,False,"{'n': 8, 'seed_lb': -3.054582102455573, 'seed_ber': 0.0008818970655968611, 'real_lb_min': -2.768578177353659, 'real_lb_max': -0.9595911074041996, 'spearman_real_va': 0.19047619047619052, 'spearman_real_vb': 0.6904761904761906, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
DGD5ps,10.0,10.0,0.0,5.0,45.0,False,-3.541400739231085,0.000287474455970738,-2.5544509725564333,-3.550871798449855,15,15,False,-3.7487701238234656,0.0001783322447113484,5,-3.64138302872484,0.00022835838939285085,-3.6372256750107135,-0.20736938459238052,-0.09998228949375498,-0.7928571428571427,0.9035714285714285,"[-0.001246, 0.009761, 0.031269, -0.233446, 0.643484, 0.021168, 0.049629, -0.002968, -0.00703]",0.017430288259243174,0.00437615096721047,1.9698708620035912,2.0,False,"{'n': 8, 'seed_lb': -3.0633569222137718, 'seed_ber': 0.0008642573423128592, 'real_lb_min': -2.7950338643474266, 'real_lb_max': -0.9587910923209388, 'spearman_real_va': 0.261904761904762, 'spearman_real_vb': 0.7380952380952381, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
Comb_IL20x20_CD15_DGD5,20.0,20.0,15.0,5.0,45.0,False,-1.1200636055999829,0.0758466483936136,-2.6094440133469194,-3.550871798449855,15,15,False,-1.1246644806480053,0.07504737728418615,0,-0.8931965902419513,0.12788023031033138,-0.8931965902419513,-0.004600875048022424,0.22686701535803155,-1.0,0.5535714285714285,"[-0.001617, 0.000632, -0.021049, -0.286554, 0.62344, -0.002522, 0.053804, -0.00423, -0.006153]",-0.00041864000126796334,-0.000565132287556506,1.9978639423415994,2.0,False,"{'n': 8, 'seed_lb': -1.1088857477079372, 'seed_ber': 0.077824126041723, 'real_lb_min': -1.6614483703502567, 'real_lb_max': -0.42732109976508237, 'spearman_real_va': -0.2142857142857143, 'spearman_real_vb': 0.5714285714285715, 'agree_a': 0.75, 'agree_b': 0.75, 'n_better_than_seed': 2}"
Comb_IL20x10_CD15_DGD5,20.0,10.0,15.0,5.0,45.0,False,-2.434800843622534,0.0036745076542147883,-2.6094440133469194,-3.550871798449855,15,15,False,-2.555772578735151,0.0027811692647417697,1,-2.1793667217881527,0.00661657558729115,-2.1793667217881527,-0.12097173511261694,0.2554341218343814,-0.9428571428571427,0.6357142857142856,"[-0.00151, 0.001736, -0.007987, -0.274209, 0.651606, -0.002463, 0.05007, -0.00406, -0.006358]",-0.0005875226323123924,-0.0008882086124861286,1.9955916233137905,2.0,False,"{'n': 8, 'seed_lb': -2.3217434682375204, 'seed_ber': 0.004767124911525531, 'real_lb_min': -2.227419326632859, 'real_lb_max': -0.42691905598230323, 'spearman_real_va': -0.2380952380952381, 'spearman_real_vb': 0.5000000000000001, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
HighNoise_IL10x10,10.0,10.0,0.0,0.0,0.0,True,-3.290621691036119,0.0005121277499315095,-2.5544509725564333,-3.550871798449855,15,15,False,-3.6007233777934755,0.0002507706018193007,3,-3.4128306904850696,0.00038651763141643467,-3.4128306904850696,-0.3101016867573567,-0.1222089994489508,-0.6892857142857142,0.8571428571428571,"[-0.001638, 0.005989, 0.015599, -0.25425, 0.64685, 0.013747, 0.051325, -0.003787, -0.006815]",0.011522479882638255,0.002392977884849843,1.97896875060745,2.0,False,"{'n': 8, 'seed_lb': -2.9388457134931656, 'seed_ber': 0.0011512092923999227, 'real_lb_min': -2.5932738630335557, 'real_lb_max': -0.9388383664704426, 'spearman_real_va': 0.14285714285714288, 'spearman_real_vb': 0.7142857142857144, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
