env,step,x,taps,gdc,gdc2,gain,pred_a,pred_b,real_lb,real_ber,grad_norm
Comb_IL20x10_CD15_DGD5,0,"[-0.0016167445918902632, 0.0006315468953088089, -0.021048936517584584, -0.2865536344193601, -0.0025217486936249135, 0.05380449768688884, -0.004229955412396935, -0.006153410068441424, -0.00041864000126796334, -0.000565132287556506, 1.9978639423415994]","[-0.001617, 0.000632, -0.021049, -0.286554, 0.62344, -0.002522, 0.053804, -0.00423, -0.006153]",-0.00041864000126796334,-0.000565132287556506,1.9978639423415994,-2.706015087452979,-3.5950956582690092,-2.478848091967,0.0033201056829054152,7.393335674838603
Comb_IL20x10_CD15_DGD5,1,"[-0.0015104838164896148, 0.0017361952467252121, -0.00798748834973768, -0.27420938765489344, -0.002462743019018818, 0.05006958297709108, -0.00406016100468525, -0.00635751221086532, -0.0005875226323123924, -0.0008882086124861286, 1.9955916233137905]","[-0.00151, 0.001736, -0.007987, -0.274209, 0.651606, -0.002463, 0.05007, -0.00406, -0.006358]",-0.0005875226323123924,-0.0008882086124861286,1.9955916233137905,-2.8143075619346565,-3.714159982634732,-2.555772578735151,0.0027811692647417697,6.114367916213289
Comb_IL20x10_CD15_DGD5,2,"[-0.001173854712181514, 0.0033393412807986925, 0.0032989248814402853, -0.2620858378094292, -0.002166781600950042, 0.04708196281610596, -0.003695069384671438, -0.006439037781746861, -0.0005383233921400063, -0.0010167673717073613, 1.9932024808990165]","[-0.001174, 0.003339, 0.003299, -0.262086, 0.670719, -0.002167, 0.047082, -0.003695, -0.006439]",-0.0005383233921400063,-0.0010167673717073613,1.9932024808990165,-2.897792665160287,-3.786046997436714,-2.490645184156214,0.0032311328587512505,5.100434897135128
Comb_IL20x10_CD15_DGD5,3,"[-0.0007490831160177862, 0.0056193123925137745, 0.010131714674332968, -0.24858587291721, -0.0018203930537859874, 0.044356344386219194, -0.003273101592928967, -0.006536208303975075, -0.0002893576897845151, -0.0009778140885072222, 1.9904007831804829]","[-0.000749, 0.005619, 0.010132, -0.248586, 0.678928, -0.00182, 0.044356, -0.003273, -0.006536]",-0.0002893576897845151,-0.0009778140885072222,1.9904007831804829,-2.959052943305618,-3.791033273266052,-2.503389990912005,0.0031376898229225104,3.8577352736834665
Comb_IL20x10_CD15_DGD5,4,"[-0.0003929025055243398, 0.008054183148058888, 0.01675505816737148, -0.23631731388192667, -0.0015473460692018528, 0.04230320043075997, -0.002929031199529519, -0.006616256791446362, 6.371649373102802e-05, -0.0008087960634567187, 1.9877755542678046]","[-0.000393, 0.008054, 0.016755, -0.236317, 0.685085, -0.001547, 0.042303, -0.002929, -0.006616]",6.371649373102802e-05,-0.0008087960634567187,1.9877755542678046,-3.0129375846373154,-3.7904703634582537,-2.444095149979693,0.0035967052597469596,3.6863756714959894
Comb_IL20x10_CD15_DGD5,5,"[-3.570186322834695e-05, 0.01057366410271766, 0.02312026028321275, -0.22518612584198022, -0.0012883963400152818, 0.040786526139325006, -0.0025957389503963755, -0.006701876283699251, 0.00048632730677339574, -0.0005441163774419638, 1.985327802561014]","[-3.6e-05, 0.010574, 0.02312, -0.225186, 0.689712, -0.001288, 0.040787, -0.002596, -0.006702]",0.00048632730677339574,-0.0005441163774419638,1.985327802561014,-3.060868576478557,-3.786378417310995,-2.4158929629497727,0.0038380182637009577,3.5524447639029026
Comb_IL20x10_CD15_DGD5,6,"[0.00033419283295383105, 0.013123773785109694, 0.02919663774528212, -0.21509619735363963, -0.0010326832466099447, 0.03969689322787597, -0.002261126445103629, -0.006796503759142103, 0.0009523985205776896, -0.0002114420785747604, 1.9830536875946476]","[0.000334, 0.013124, 0.029197, -0.215096, 0.692462, -0.001033, 0.039697, -0.002261, -0.006797]",0.0009523985205776896,-0.0002114420785747604,1.9830536875946476,-3.103405641514685,-3.776182938928821,-2.341417702700498,0.0045559851232567575,3.4453801052794684
Comb_IL20x10_CD15_DGD5,7,"[0.000842222962435416, 0.01565986385653084, 0.03496155134256652, -0.20595735497522616, -0.0007782950238234979, 0.038943454419118576, -0.0019236942289040085, -0.006900131672993059, 0.0014417254484906852, 0.00016619441166237535, 1.980949679370028]","[0.000842, 0.01566, 0.034962, -0.205957, 0.694033, -0.000778, 0.038943, -0.001924, -0.0069]",0.0014417254484906852,0.00016619441166237535,1.980949679370028,-3.1416715399445456,-3.7630485876451787,-2.2937863314530653,0.00508409513441446,3.364057029940379
Comb_IL20x10_CD15_DGD5,8,"[0.0014627474788756001, 0.018150074430706056, 0.04040551905917905, -0.19870000000000002, -0.0005231502146371488, 0.03845522231088648, -0.0015813893350269425, -0.007012474655585216, 0.001940095215100249, 0.0005718862233268856, 1.9790083100762141]","[0.001463, 0.01815, 0.040406, -0.1987, 0.693709, -0.000523, 0.038455, -0.001581, -0.007012]",0.001940095215100249,0.0005718862233268856,1.9790083100762141,-3.1735995977436846,-3.7458504718586934,-2.2315473524620124,0.005867493910416737,3.3001067947524922
Comb_IL20x10_CD15_DGD5,9,"[0.002151549355392037, 0.020560314379171715, 0.0455174327520643, -0.19870000000000002, -0.0002740667408374405, 0.03815996878468898, -0.001245639485775264, -0.007130218297193121, 0.0024368591626276115, 0.0009897525309399996, 1.9772224595141297]","[0.002152, 0.02056, 0.045517, -0.1987, 0.686261, -0.000274, 0.03816, -0.001246, -0.00713]",0.0024368591626276115,0.0009897525309399996,1.9772224595141297,-3.185568495494177,-3.713227877145244,-2.211512082200103,0.006144519372345266,3.256707151044067
