env,step,x_shape,taps,gdc,gdc2,gain,gain_ratio,drive_rms,pred_b_ber,allowed_ber,stop_reason,pred_a,pred_b,real_lb,real_ber,grad_norm
Comb_IL20x20_CD15_DGD5,0,"[0.050452132344066265, -0.269817002928453, -0.11929316470941978, 0.006191962835279098, 0.21079121188534639, -5.0]","[0.050452, -0.269817, 0.554246, -0.119293, 0.006192]",0.21079121188534639,-5.0,0.8553322829598765,1.9523676853683554,0.19499999999999998,0.0010857714953113407,0.0013572143691391759,,-3.0634658176084,-2.9642615640355516,-2.892652593586132,0.0012804051327069707,4.245859242150448
Comb_IL20x20_CD15_DGD5,1,"[0.056386389322722504, -0.27140193964648796, -0.12679994353083343, 0.0062960850589877165, 0.15692904671112518, -5.0]","[0.056386, -0.271402, 0.539116, -0.1268, 0.006296]",0.15692904671112518,-5.0,0.9125155550371522,2.082893300701101,0.19499999999999998,0.0008998167390509539,0.0011247709238136924,,-3.185580639716768,-3.0458459320308173,-3.020284477931387,0.0009543672376275266,5.99219555686616
Comb_IL20x20_CD15_DGD5,2,"[0.06264743274028792, -0.267457445081591, -0.13257706449284085, 0.006924139468409203, 0.1805331657507558, -5.0]","[0.062647, -0.267457, 0.530394, -0.132577, 0.006924]",0.1805331657507558,-5.0,0.9386522327721839,2.142552460105419,0.19500000000000003,0.0008279362899235749,0.0010349203624044686,,-3.2539532340565698,-3.082003081088519,-3.205048479713239,0.0006236652126814323,3.9297861160718117
Comb_IL20x20_CD15_DGD5,3,"[0.06604352264904367, -0.2607415110532439, -0.13774019875747923, 0.006878878925400698, 0.24735275048441874, -5.0]","[0.066044, -0.260742, 0.528596, -0.13774, 0.006879]",0.24735275048441874,-5.0,0.9375104752130944,2.1399463027005123,0.19499999999999998,0.0008270844189063935,0.0010338555236329918,,-3.2790170527121054,-3.082450160587589,-3.180532889537775,0.0006598832587789659,3.100239985767003
Comb_IL20x20_CD15_DGD5,4,"[0.06638201299747598, -0.2551248392928914, -0.1445394317151152, 0.006183760408855756, 0.33820225820807165, -5.0]","[0.066382, -0.255125, 0.52777, -0.144539, 0.006184]",0.33820225820807165,-5.0,0.9371443817823727,2.139110663735158,0.19499999999999998,0.0008347529415166909,0.0010338555236329918,,-3.3054040660646278,-3.078442041896573,-3.119823065093321,0.0007588866883213145,2.7666748712990707
Comb_IL20x20_CD15_DGD5,5,"[0.06513550355121639, -0.24879952153319812, -0.15020769211012092, 0.005960587329841514, 0.45974934534316236, -5.0]","[0.065136, -0.2488, 0.529897, -0.150208, 0.005961]",0.45974934534316236,-5.0,0.9222039773930739,2.105007937441392,0.19499999999999998,0.0008799669773877142,0.0010338555236329918,marginal_gain,-3.3087794900326974,-3.0555336253582275,-3.151032455014146,0.0007062647728193827,2.87043935575579
