sample_id,env,il_tx_db,il_rx_db,cd_ps_nm,dgd_ps,pol_deg,num_symbols,n_sim_seeds,sim_seed0,mlse_ber,log10_ber_mlse,ber_std_log10,ctle_dc,ctle_dc2,driver_gain,gain_u,gain_ratio,drive_rms,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,ffe_tap_0,ffe_tap_1,ffe_tap_2,ffe_tap_3,ffe_tap_4,ffe_tap_5,ffe_tap_6,ffe_tap_7,ffe_tap_8,tx_fir_0,tx_fir_1,tx_fir_2,tx_fir_3,tx_fir_4,tx_fir_5,tx_fir_6
Base_IL10x10:0,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.0004843895672340896,-3.314805219247934,0.033240030180565816,-1.0323843408980264,-2.107351157813687,0.2907539384800261,-0.1780476468935702,0.6636702544625112,0.09868239870618449,0.07822260439514442,-0.00024388784397521014,-0.0006858597919911294,-0.25916973680290595,-0.037009417734788774,0.022002437764836326,0.07032388602980098,-0.0742786064305277,-1.0323843408980264,-2.107351157813687,-0.1780476468935702,0.07822260439514442,-0.00024388784397521014,-0.0006858597919911294,-0.25916973680290595,0.4580635632060295,-0.037009417734788774,0.022002437764836326,0.07032388602980098,-0.0742786064305277,-0.022644226102487314,-0.07572504660107822,0.17554528183038973,0.04493664431830483,0.03341493869637013,0.03411551258788024,-0.020271312797061507
Base_IL10x10:1,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.04219612417082667,-1.3747274383398906,0.0034377241452207483,-1.561894993197366,-2.669274263220256,1.4591324590363983,0.5225214654578474,3.3305922370152894,0.5477632737013421,0.0014073235011151431,0.05013561348799194,-0.008082276161327076,-0.2830443414198828,-0.034922723872178485,0.02704454152129841,-0.03390638172561041,0.015017236882800745,-1.561894993197366,-2.669274263220256,0.5225214654578474,0.0014073235011151431,0.05013561348799194,-0.008082276161327076,-0.2830443414198828,0.546439561427795,-0.034922723872178485,0.02704454152129841,-0.03390638172561041,0.015017236882800745,-0.12597058439382358,-0.36605333615450797,1.0421391547022427,0.25762818161495643,0.13174360702534507,-0.030263982395236377,0.028321168653931226
Base_IL10x10:2,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.053975456332273776,-1.267803677261436,0.011077506636083976,-1.0642342864677232,-1.4129025291973025,0.23443950243297773,-0.2715424622005574,0.5351278302510334,0.08448175683508785,0.07170293019756051,-0.023789312112132224,-0.06297783834970738,-0.3448194638707852,0.0487533278996273,0.15109561962342127,0.05608457105079323,-0.028668304895324237,-1.0642342864677232,-1.4129025291973025,-0.2715424622005574,0.07170293019756051,-0.023789312112132224,-0.06297783834970738,-0.3448194638707852,0.21210863200064856,0.0487533278996273,0.15109561962342127,0.05608457105079323,-0.028668304895324237,-0.05321255274050157,-0.1252491647792622,0.037101475086292905,0.04183757702097966,0.07364171049870173,0.04257717702989941,0.005600780934677584
Base_IL10x10:3,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.15217611028936218,-0.8176535209152908,0.005462347729437089,-0.30249803458817337,2.9408992046939932,1.322995380786111,0.47998507468082613,3.0198479360559487,0.6152307329261559,-0.06713704597060348,0.06945304441887244,0.025881052864091578,-0.22491299215053356,0.0394524295073774,0.02157730906509491,0.07553301860053174,0.02165628480811277,-0.30249803458817337,2.9408992046939932,0.47998507468082613,-0.06713704597060348,0.06945304441887244,0.025881052864091578,-0.22491299215053356,0.4543968226147821,0.0394524295073774,0.02157730906509491,0.07553301860053174,0.02165628480811277,-0.0075214198373810244,-0.28421583616504326,0.9140118708805748,0.5133426196252093,0.33856388799806214,0.36521261936308774,0.26243701192867475
Base_IL10x10:4,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.10484677068840956,-0.9794449413913139,0.010493442461863532,-2.6003607731325067,-1.3999945525697761,1.6937853045555222,0.5872851073879692,3.8662070407567275,0.5138368199603549,-0.039537609193306816,-0.08564840868135419,-0.044164388426721435,-0.334848675274966,0.0753635744677294,0.05136692153637967,-0.08956360098434751,-0.07950682143519501,-2.6003607731325067,-1.3999945525697761,0.5872851073879692,-0.039537609193306816,-0.08564840868135419,-0.044164388426721435,-0.334848675274966,0.19999999999999996,0.0753635744677294,0.05136692153637967,-0.08956360098434751,-0.07950682143519501,-0.3739018406450681,-0.7794432514709546,0.28000044984649164,0.25465306618758543,0.14074432581525467,-0.21605063047636192,-0.23893040894743078
Base_IL10x10:5,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.0845408819955018,-1.0729332255893116,0.0006497626728885315,2.862705003427752,-0.39190415496000186,0.8009091378614106,0.26200999553563165,1.8281422913978786,0.385333132842957,0.0885211554766174,0.08776947722288866,-0.06388510049855958,-0.2698202607691761,0.01584824534585421,0.15383004219505622,0.08473345030585046,-0.035592268185997415,2.862705003427752,-0.39190415496000186,0.26200999553563165,0.0885211554766174,0.08776947722288866,-0.06388510049855958,-0.2698202607691761,0.19999999999999996,0.01584824534585421,0.15383004219505622,0.08473345030585046,-0.035592268185997415,-0.09580017119914395,-0.45675115189678306,0.1260169243158595,0.1789020700469942,0.372231931415526,0.3140874758954262,0.08327059533638106
Base_IL10x10:6,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.1656917791989735,-0.7806990385757758,0.0011458914722372027,-0.48017490822506725,0.3261558483239342,0.14015507904590027,-0.49496441250434936,0.3199157248251547,0.04154444252664687,0.08752874662742698,0.05259710686348886,0.013825848225051337,-0.34489783311711064,-0.04496423253278832,0.10473319311615625,-0.09006523905469724,-0.06138780046328045,-0.48017490822506725,0.3261558483239342,-0.49496441250434936,0.08752874662742698,0.05259710686348886,0.013825848225051337,-0.34489783311711064,0.19999999999999996,-0.04496423253278832,0.10473319311615625,-0.09006523905469724,-0.06138780046328045,-0.005324327336107922,-0.07024052478618353,0.016165396226693617,0.0012614926168668316,0.019464278119388088,-0.017040067259861957,-0.020676248186896416
Base_IL10x10:7,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.051703533243845246,-1.2864797776821921,0.004161309051360447,-2.184270143582327,-0.17616707805178933,0.14471535087393617,-0.48105865124894076,0.3303249278108564,0.04272000224947032,0.04783380834852731,0.06204429678476589,0.05352161017908938,-0.30256643135403277,0.08925936131385599,0.0486185979615334,0.061783302708009226,-0.03720227120731339,-2.184270143582327,-0.17616707805178933,-0.48105865124894076,0.04783380834852731,0.06204429678476589,0.05352161017908938,-0.30256643135403277,0.2971703201428726,0.08925936131385599,0.0486185979615334,0.061783302708009226,-0.03720227120731339,0.0028777197027694238,-0.046072756517059166,0.052204311299436645,0.036300644185624384,0.02629878408660672,0.020442798164120073,0.0007440577926203277
Base_IL10x10:8,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.01795942500307056,-1.7457075720112014,0.009020210648339869,2.40191456216834,-1.188262949757948,0.18785690800539628,-0.3677460833051875,0.42879915089111226,0.09373201018706169,-0.04471612717790337,-0.08555010447751034,0.016184768789728687,-0.2184696320375078,0.0716553843724426,0.08726189787739036,-0.0771301512089148,0.022836971740688106,2.40191456216834,-1.188262949757948,-0.3677460833051875,-0.04471612717790337,-0.08555010447751034,0.016184768789728687,-0.2184696320375078,0.37619496231791394,0.0716553843724426,0.08726189787739036,-0.0771301512089148,0.022836971740688106,-0.03632672238599376,-0.05469033994009013,0.13080326300759285,0.0902583872841461,0.060323151210120364,-0.0032186387790971837,0.00872960916428885
Base_IL10x10:9,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.02769453841007703,-1.557605868922318,0.031102904052006882,1.7661832753144642,-1.5362891728864607,0.7091658204884003,0.20917454265793542,1.6187304736096788,0.2832945729303187,0.011303810233545054,-0.05159085806907076,-0.018369970713381083,-0.335126586996146,-0.04229691763773477,0.08212212490960341,0.06642831098108411,-0.04754493615021438,1.7661832753144642,-1.5362891728864607,0.20917454265793542,0.011303810233545054,-0.05159085806907076,-0.018369970713381083,-0.335126586996146,0.3452164843092205,-0.04229691763773477,0.08212212490960341,0.06642831098108411,-0.04754493615021438,-0.1972964927830783,-0.3859567477197365,0.3063040786730547,0.09121055575747788,0.1749581954578395,0.1337178522780603,-0.010827699519489496
