sample_id,ctle_dc,ctle_dc2,mlse_ber,log10_ber,ffe_tap_0,ffe_tap_1,ffe_tap_2,ffe_tap_3,ffe_tap_4,ffe_tap_5,ffe_tap_6,ffe_tap_7,ffe_tap_8,tx_fir_0,tx_fir_1,tx_fir_2,tx_fir_3,tx_fir_4,tx_fir_5,tx_fir_6
0,2.3943594318366213,-2.472251929689478,0.009948501872659176,-2.0022423139701884,0.28836781318543325,-0.05713166353192564,-0.052757579375973425,0.20379078959128216,1.0,-0.06752825320436631,0.11220731329450895,-0.17902834191059708,0.12156418070841692,0.0016239172285986234,0.09156608644136222,0.26285991790354596,0.10896768383886876,0.05207473683909679,-0.015042012741938799,0.01754719695144663
1,-1.9891381558599628,-3.0781583219956103,0.0030340679919331603,-2.517974691119979,-0.18041123940726975,-0.24627802949665456,0.12790684046397582,-0.12894682848398123,1.0,0.09376697574035175,0.05903182838346459,0.1759336245638953,-0.006019145176831253,0.0035707786063298996,0.029421535055113242,0.26743296061787475,0.1040542778340445,0.059313521062104135,0.06099062766340808,0.01672750072829316
2,-3.7807714474603378,-4.808415244766213,0.0008012820512820513,-3.0962145853464054,-0.0365274263220256,0.013993642209561074,0.05700879059268149,-0.15146793633639666,1.0,0.24336648495087787,-0.2676583916123556,0.07575998369888186,-0.21721314112973616,0.006219617719127938,0.030028837178050327,0.2888665401122538,0.09914114846122492,-0.04515695230842017,-0.0071303726736897865,-0.06495625912121061
3,4.838865453254746,4.096650930026588,0.0016655862863728032,-2.778432863588304,0.06217657135322765,0.09930974708026975,0.09020225239255852,-0.01631113791181048,1.0,-0.2938408667433827,-0.0051568414077252985,-0.29163897645160064,-0.13784271147786778,0.0454326284534943,0.08669568238137616,0.27001778046908964,0.0871322077307611,0.030871352745133918,-0.04884864324450898,-0.04809409182564688
4,-3.5234124775198747,-4.315698762418046,0.07985811005473926,-1.0976809721595915,-0.2752311455756617,-0.26964980345881734,-0.28581007953060067,-0.13809370999241458,1.0,0.10055032205958145,0.034558570692750964,0.10848375648629094,-0.2559864984311791,-0.09712014848736777,0.008879601466013864,0.2478535849100804,0.078939851349996,0.037519453330700836,0.019207298257871326,-0.05586502241943705
5,-0.5656989849906378,-4.28057265036768,0.0019806972054163064,-2.7031819111691116,-0.20495997246074252,-0.0918022086809253,0.09936392268674933,-0.1657994552569776,1.0,-0.1658115496135879,0.1665657812906934,0.07936232526733852,0.06072937764121413,0.004932368904836006,0.022623403400028254,0.28935952742162574,0.06039307461721729,0.07139533083481123,0.047171118577796885,0.031425140821502044
6,-2.31015408917284,-4.722183586946162,0.02158059636992221,-1.6659365579576642,-0.16520052088853715,-0.16664132886184294,0.07963042916805559,-0.06532949965722479,1.0,0.16930958450399985,-0.2962660738201974,-0.23236776214822363,-0.17859118502941876,0.0033726866998020034,0.04483564307990427,0.26113387602029836,0.08988541575049487,-0.05979706827130555,-0.08406298256878449,-0.06697932210515085
7,1.107214839238294,-3.218919491045532,0.10161876980697206,-0.99302606694666,0.29153562459815413,-0.030722558593117386,-0.26185602092198046,0.12772981815424034,1.0,0.2582825091774933,-0.07838441516760658,0.14631192187266995,0.06790142504558191,-0.045622499836722806,0.07710959800160389,0.2496200902457123,0.13226524164687606,0.03731040880983075,0.04483641811089391,0.027117551311445064
8,-4.355806358895168,2.4124947761244826,0.0246236675309709,-1.6086472613218683,0.24820070593790178,0.215578083941568,-0.0584442061153998,-0.1713500918759723,1.0,-0.03390681362194015,0.23007298564176726,-0.04221670780517892,0.19666143683092463,0.00047691100561281187,0.0287531860463894,0.24895809345873435,0.0769897806144793,0.095489460688711,0.044352856743923946,0.07914380077415878
9,-1.0005900295106027,4.000190511677253,0.0017736243157591472,-2.751138365829725,-0.06244569363081393,0.0657911038874767,0.21226615311732772,-0.11291430636782891,1.0,-0.15099045362674435,-0.06528908477793567,-0.11740854378316604,0.17217370502420512,0.057717270131674665,0.055672850803322786,0.2750779015435791,0.08709937600447262,0.03301096034863455,0.01090829069761858,0.06478973844302592
