sample_id,env,il_tx_db,il_rx_db,cd_ps_nm,dgd_ps,pol_deg,num_symbols,n_sim_seeds,sim_seed0,mlse_ber,log10_ber_mlse,ber_std_log10,ctle_dc,ctle_dc2,driver_gain,drive_rms,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,ffe_tap_0,ffe_tap_1,ffe_tap_2,ffe_tap_3,ffe_tap_4,ffe_tap_5,ffe_tap_6,ffe_tap_7,ffe_tap_8,tx_fir_0,tx_fir_1,tx_fir_2,tx_fir_3,tx_fir_4,tx_fir_5,tx_fir_6
Base_IL10x10:0,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.05912135275592723,-1.2282556374056313,0.028155709873789698,0.7663478693873336,1.3603052636644584,2.0019662561742733,0.22972951986586312,-0.08360872253034748,-0.06589929902484504,0.015463376300055398,-0.30226085501816213,0.015566139157570236,0.14134023603022705,0.08827428768625603,0.08075870980920191,0.7663478693873336,1.3603052636644584,2.0019662561742733,-0.08360872253034748,-0.06589929902484504,0.015463376300055398,-0.30226085501816213,0.20682837444333468,0.015566139157570236,0.14134023603022705,0.08827428768625603,0.08075870980920191,-0.4387290232069597,-1.0,0.29388530009056885,0.2593883746415685,0.6528648714758225,0.6215380527326324,0.5300484014865086
Base_IL10x10:1,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.006936749473491513,-2.1588439901256553,0.004805821163330043,-1.6805937074835384,0.28578585487339914,2.102017106349594,0.23998258326200958,0.04317077188196963,-0.06977741570005042,0.009235773991705727,-0.2146021338742671,0.04048297579888452,0.13910338450811513,-0.05878988578506511,0.09510773051750464,-1.6805937074835384,0.28578585487339914,2.102017106349594,0.04317077188196963,-0.06977741570005042,0.009235773991705727,-0.2146021338742671,0.3297299279424377,0.04048297579888452,0.13910338450811513,-0.05878988578506511,0.09510773051750464,-0.27956728206906206,-0.42305263382628727,1.0,0.5364367664142041,0.5813583840009451,0.10680482815394937,0.39140381061656576
Base_IL10x10:2,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.02814475024464013,-1.5506026008981078,0.0058086863173884284,-1.3077142904232715,1.9131091925168582,1.6614817957558183,0.1902018841146729,-0.09248168626524682,-0.04805820070082637,-0.029486489685671108,-0.22632164919240752,-0.022166700627329394,4.762264638297209e-05,0.09802856906745779,-0.02230190559577653,-1.3077142904232715,1.9131091925168582,1.6614817957558183,-0.09248168626524682,-0.04805820070082637,-0.029486489685671108,-0.22632164919240752,0.4611071762189014,-0.022166700627329394,4.762264638297209e-05,0.09802856906745779,-0.02230190559577653,-0.37773522337727383,-0.32389502581734886,1.0,0.22065867943087505,0.1979924988746935,0.3102771393938859,0.07235100486829159
Base_IL10x10:3,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.0021190911546473327,-2.673850361312392,0.003486317997840852,-0.40936271617608433,-1.5506299706625422,1.905273854245681,0.21781174249016358,0.05976846268372822,0.0640815276179526,-0.054743419599427676,-0.20815620094083467,-0.004672315578891218,0.049308181656843204,0.08083136625332343,-0.02964821994929521,-0.40936271617608433,-1.5506299706625422,1.905273854245681,0.05976846268372822,0.0640815276179526,-0.054743419599427676,-0.20815620094083467,0.4487903057197038,-0.004672315578891218,0.049308181656843204,0.08083136625332343,-0.02964821994929521,-0.24895152458297454,-0.2113138152256078,1.0,0.319240906117027,0.3036232076589407,0.263607566243956,0.018620894116296874
Base_IL10x10:4,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.008382713586693957,-2.0766153721859477,0.36142939902435983,-0.8210048320781651,-0.31246595356110074,2.0540463581917927,0.23469608671915929,0.075104837624128,0.06699702227656448,-0.016742173986893854,-0.36325520506495645,0.08519844031001565,0.0749876546977442,0.06862505737345306,0.02749539858140562,-0.8210048320781651,-0.31246595356110074,2.0540463581917927,0.075104837624128,0.06699702227656448,-0.016742173986893854,-0.36325520506495645,0.2215942100848386,0.08519844031001565,0.0749876546977442,0.06862505737345306,0.02749539858140562,-0.19088826202107526,-1.0,0.3446038924976321,0.4208419676488351,0.42118704977125637,0.3702643306616857,0.22699121017868973
Base_IL10x10:5,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.005787425062321274,-2.237514619340048,0.2041547968343061,1.8044062714234497,2.6130990314999885,1.9701450643729437,0.22398765893998435,0.039512044355611266,-0.04403682235971147,0.024394536752529436,-0.2762873731238298,-0.08944658129595999,0.08215724814888097,-0.05029443512883946,0.05214672743344926,1.8044062714234497,2.6130990314999885,1.9701450643729437,0.039512044355611266,-0.04403682235971147,0.024394536752529436,-0.2762873731238298,0.34172423140118835,-0.08944658129595999,0.08215724814888097,-0.05029443512883946,0.05214672743344926,-0.1993904404858193,-1.0,0.8768626970582766,0.17355873802693464,0.3483999780378251,0.0050644347456207765,0.23480374701210166
Base_IL10x10:6,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.0498778579283955,-1.3020922061528708,0.0017083595761785166,-2.68234317640667,-1.7490259479754122,2.274082519506979,0.25918155885774546,0.07860562071762041,0.055684338466983035,0.0337455446700543,-0.28745573767802113,-0.09607910583668758,0.10245355916980517,0.05413612998331525,-0.09183996347751316,-2.68234317640667,-1.7490259479754122,2.274082519506979,0.07860562071762041,0.055684338466983035,0.0337455446700543,-0.28745573767802113,0.19999999999999996,-0.09607910583668758,0.10245355916980517,0.05413612998331525,-0.09183996347751316,-0.04311428380837123,-1.0,0.47229981292248957,-0.1963614017697832,0.4427537292307857,0.23414746556232746,-0.3087598647056542
Base_IL10x10:7,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.37544688153109823,-0.42545149857929854,0.000785341532334363,0.7483116026104566,2.9489557621763165,2.0610566336554643,0.23611254280351515,-0.08330911855466576,-0.034536945995947484,-0.09289016665097165,-0.34537757388851215,-0.06286454165601273,0.0523681692719021,0.039916067894751286,-0.08873741608723677,0.7483116026104566,2.9489557621763165,2.0610566336554643,-0.08330911855466576,-0.034536945995947484,-0.09289016665097165,-0.34537757388851215,0.19999999999999996,-0.06286454165601273,0.0523681692719021,0.039916067894751286,-0.08873741608723677,-0.5207647765032718,-1.0,-0.05656350573927503,-0.17383452381746684,0.018895911595352102,0.023941102064779094,-0.2269219302483914
Base_IL10x10:8,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.00023820779399160339,-3.6230440328105495,0.02544551451803179,-1.7130339864478759,-1.8766434359871769,1.7683812315558733,0.20166207697553923,0.067399205138104,-0.07906315298443961,0.007779804935804269,-0.3897602002344236,0.0003461523277662249,-0.012038138266310297,0.08168655494428259,-0.039143926620699314,-1.7130339864478759,-1.8766434359871769,1.7683812315558733,0.067399205138104,-0.07906315298443961,0.007779804935804269,-0.3897602002344236,0.32278286454817007,0.0003461523277662249,-0.012038138266310297,0.08168655494428259,-0.039143926620699314,-0.2972558208260759,-1.0,0.6202668812720478,0.16873829099819748,0.08427953840912068,0.2306703038079593,-0.03302416504824765
Base_IL10x10:9,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.006335963750362958,-2.1981873161190637,0.018264830835150674,0.8198954707154029,-1.3518073305403782,1.6128043675108006,0.18429096219742228,0.055023813959656546,0.09880713706830775,-0.020687316958631723,-0.22386616872591225,0.011269264764157662,0.11833828068502139,-0.02294805636822438,0.05971914906116012,0.8198954707154029,-1.3518073305403782,1.6128043675108006,0.055023813959656546,0.09880713706830775,-0.020687316958631723,-0.22386616872591225,0.38934081240892826,0.011269264764157662,0.11833828068502139,-0.02294805636822438,0.05971914906116012,-0.06315796452123369,-0.4697495655724267,1.0,0.5488671999613495,0.5499850087904178,0.18255059428144552,0.25355852296942105
