sample_id,env,il_tx_db,il_rx_db,cd_ps_nm,dgd_ps,pol_deg,num_symbols,n_sim_seeds,sim_seed0,mlse_ber,log10_ber_mlse,ber_std_log10,ctle_dc,ctle_dc2,driver_gain,gain_u,gain_ratio,drive_rms,x_0,x_1,x_2,x_3,x_4,x_5,x_6,ffe_tap_0,ffe_tap_1,ffe_tap_2,ffe_tap_3,ffe_tap_4,tx_fir_0,tx_fir_1,tx_fir_2,tx_fir_3,tx_fir_4,tx_fir_5,tx_fir_6
Base_IL10x10:0,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,1048576,3,42,4.814812674898072e-07,-6.317420604871877,0.0,6.7898116453042245,0.9480487552967265,0.14717929175028902,-0.3635044558807961,0.43300762503762585,0.16554232813164235,-0.0992330467036417,-0.24195791588298143,0.007810605156006661,0.040822697397820545,6.7898116453042245,0.9480487552967265,-0.3635044558807961,-0.0992330467036417,-0.24195791588298143,0.6101757348595497,0.007810605156006661,0.040822697397820545,-0.06768931603874735,-0.09153294985637261,0.3471054957483066,-0.03758124163150144,0.0341722806164828,-0.0041545470429115525,0.005516929960961469
Base_IL10x10:1,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,1048576,3,42,4.814812674898072e-07,-6.317420604871877,0.0,7.658146470022302,3.928712269759839,0.18156078840224613,-0.2723291046453083,0.5341594245432366,0.315391169844886,-0.002783954822895781,-0.31730960852245066,-0.025083778945342167,0.03327219014818256,7.658146470022302,3.928712269759839,-0.2723291046453083,-0.002783954822895781,-0.31730960852245066,0.6215504675611287,-0.025083778945342167,0.03327219014818256,-0.03603674803411815,-0.24650370954706505,0.6743607908700032,-0.14777362793611606,0.049059458814158304,-0.02156737909893321,0.0008601293985334186
Base_IL10x10:2,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,1048576,3,42,4.814812674898072e-07,-6.317420604871877,0.0,4.954344737656015,3.614736671201756,0.0853980451767919,-0.5999032350960342,0.2512446165836773,0.10911732280101201,-0.06500825606491205,-0.27366704290413385,0.07323340614097382,0.022270213705792193,4.954344737656015,3.614736671201756,-0.5999032350960342,-0.06500825606491205,-0.27366704290413385,0.5658210811841881,0.07323340614097382,0.022270213705792193,-0.03441484152813484,-0.0803552045129349,0.21997215166538148,0.014148279710139948,0.014715748379296328,-0.002275326603829433,0.0007292789599005507
Base_IL10x10:3,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,1048576,3,42,0.02056552985693329,-1.6868600967077876,0.016170003494075304,6.749610722584296,2.213066557992546,0.4097638513698462,0.08118247849368508,1.2055423694317335,0.4831028895256237,0.016373410552390263,-0.35922280235182963,0.03780801591590085,0.08379162123771947,6.749610722584296,2.213066557992546,0.08118247849368508,0.016373410552390263,-0.35922280235182963,0.5028041499421598,0.03780801591590085,0.08379162123771947,-0.03577619277323664,-0.5370938057359362,0.9644315616992741,-0.052972552328217536,0.16712965865870652,-0.03010160053753852,0.010528053861840471
Base_IL10x10:4,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,1048576,3,42,0.004395555708500606,-2.3569862114027393,0.11275102300474486,4.945348349283724,3.94125908058793,0.3191268476517974,-0.027387822324510314,0.9388845179517429,0.43931323397389016,0.019613428288094932,-0.3680512286714932,0.011044142838306908,-0.015147563229932562,4.945348349283724,3.94125908058793,-0.027387822324510314,0.019613428288094932,-0.3680512286714932,0.5861436369721724,0.011044142838306908,-0.015147563229932562,-0.023929044653920484,-0.45191230211720085,0.8846530608559163,-0.04989151504857792,0.008864656548102994,-0.01118517316382511,0.0016533778712024669
Base_IL10x10:5,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,1048576,3,42,4.814812674898072e-07,-6.317420604871877,0.0,7.3806603720106345,1.6491256961622554,0.2308968952921889,-0.16793307127842316,0.679308312127652,0.26390195943404265,-0.08006421035193131,-0.23383474411290017,-0.030185677869466947,0.1148829817988212,7.3806603720106345,1.6491256961622554,-0.16793307127842316,-0.08006421035193131,-0.23383474411290017,0.5410323858668803,-0.030185677869466947,0.1148829817988212,-0.10044250586366432,-0.15788661319934616,0.5511636404655329,-0.10545736252915507,0.13038075591925372,-0.02442833777095902,0.008260015529811248
Base_IL10x10:6,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,1048576,3,42,0.0014917032264677391,-2.826317570916698,0.061864239070182084,6.99122504324194,2.7694233437921394,0.3055471001896596,-0.046272998201589845,0.8989323335971157,0.41117750180827095,-0.051677519882650166,-0.2929484274981037,-0.021212419485104644,0.058439642673187735,6.99122504324194,2.7694233437921394,-0.046272998201589845,-0.051677519882650166,-0.2929484274981037,0.5757219904609537,-0.021212419485104644,0.058439642673187735,-0.11472485826307642,-0.31401856870780254,0.8635533930426923,-0.15203121533720593,0.10864174204142442,-0.02607002628851533,0.006673806661279078
Base_IL10x10:7,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,1048576,3,42,4.814812674898072e-07,-6.317420604871877,0.0,6.094670298286816,3.2685896692427474,0.24201309905105503,-0.14751229161240884,0.7120126479878054,0.33455530100307684,0.022014518563729303,-0.26106499311518566,0.010724447829768679,0.08371598067168734,6.094670298286816,3.2685896692427474,-0.14751229161240884,0.022014518563729303,-0.26106499311518566,0.622480059819629,0.010724447829768679,0.08371598067168734,-0.00473765731657011,-0.21997221891684557,0.7195104101720626,-0.06274139997571002,0.11120811230864154,-0.021373977317544167,0.0035340934380867733
Base_IL10x10:8,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,1048576,3,42,0.0019094556813395254,-2.7190904171927603,0.146340799063037,7.060663194076419,0.8010578075877137,0.3640198531603707,0.029773905557407415,1.070961615652753,0.4014389413411422,0.01336558131683463,-0.3715676555896965,-0.010210484774859571,0.0473164102444848,7.060663194076419,0.8010578075877137,0.029773905557407415,0.01336558131683463,-0.3715676555896965,0.5575398680741245,-0.010210484774859571,0.0473164102444848,-0.03378623382106313,-0.42749158867273807,0.8196549117856886,-0.12379139457919394,0.09501402849457076,-0.015549836898897699,0.012346130466009799
Base_IL10x10:9,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,1048576,3,42,4.814812674898072e-07,-6.317420604871877,0.0,5.1233920998038744,1.317938364330864,0.16579692733065632,-0.31177468695569294,0.4877814867039021,0.1544321353172556,0.04011762508569379,-0.26619760387400004,0.07473348154495064,0.09363305946294409,5.1233920998038744,1.317938364330864,-0.31177468695569294,0.04011762508569379,-0.26619760387400004,0.5253182300324115,0.07473348154495064,0.09363305946294409,0.008244436250429556,-0.12399152171003523,0.3122693402370492,0.030899868488232545,0.06775723034648685,0.00036874594338645415,0.0076338202940999045
Base_IL10x10:10,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,1048576,3,42,0.0002962291115335579,-3.5283722639879116,0.1067679734827444,4.861883394516622,0.8814372322159558,0.3073503606602226,-0.04371743750310675,0.9042376012363125,0.2811118400384819,-0.07744109385046147,-0.3431306396482794,0.0523609947695049,0.0019324545385600994,4.861883394516622,0.8814372322159558,-0.04371743750310675,-0.07744109385046147,-0.3431306396482794,0.5251348171931941,0.0523609947695049,0.0019324545385600994,-0.1105765962557551,-0.2915102360686509,0.5293584948495403,0.025329204256822883,0.026978984089846676,0.0020922979245119456,0.008656576400419383
Base_IL10x10:11,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,1048576,3,42,0.0005395442216074671,-3.2679729542933167,0.19944794761329737,5.96718722627712,1.886371959230668,0.38061366404134145,0.049133210832036894,1.1197813005040937,0.4570739729742928,0.026625356261395478,-0.2399417774114256,-0.06988379236568298,-0.008149823515524554,5.96718722627712,1.886371959230668,0.049133210832036894,0.026625356261395478,-0.2399417774114256,0.6553992504459714,-0.06988379236568298,-0.008149823515524554,0.004000696592431082,-0.2602763273791648,0.9914076825716305,-0.20179503731096426,0.035337212732048866,-0.009379918524146935,0.009726084888032196
Base_IL10x10:12,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,1048576,3,42,4.814812674898072e-07,-6.317420604871877,0.0,6.265677456441933,2.0629979104497935,0.14298492099398857,-0.37606092484108516,0.42066761104439127,0.17597031288310033,-0.0020517034054850433,-0.2309067535895582,-0.04400417695129472,0.08284035920773117,6.265677456441933,2.0629979104497935,-0.37606092484108516,-0.0020517034054850433,-0.2309067535895582,0.6401970068459308,-0.04400417695129472,0.08284035920773117,-0.014596737633357646,-0.09542742079137484,0.38121038517284894,-0.06378195748751443,0.06371211958219625,-0.009229130153279235,0.005002478504660714
Base_IL10x10:13,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,1048576,3,42,4.814812674898072e-07,-6.317420604871877,0.0,4.686739434813762,3.043276374778893,0.0737422024716453,-0.6636350599677265,0.21695264039907414,0.096173821650684,-0.04065222402813084,-0.2288334617206681,-0.00947857659195723,0.04437738659331391,4.686739434813762,3.043276374778893,-0.6636350599677265,-0.04065222402813084,-0.2288334617206681,0.6766583510659299,-0.00947857659195723,0.04437738659331391,-0.018760265723043252,-0.0483408860391604,0.20428266591135605,-0.010531466463362563,0.021544245167083146,-0.002355597230959299,0.0015546144104323352
Base_IL10x10:14,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,1048576,3,42,4.814812674898072e-07,-6.317420604871877,0.0,5.657468260077081,0.4460616472453045,0.30948504245281766,-0.040711500361586356,0.910517924250714,0.286641705591002,0.03266614955734094,-0.36252214232484126,0.006156856448196924,0.0502725219649642,5.657468260077081,0.4460616472453045,-0.040711500361586356,0.03266614955734094,-0.36252214232484126,0.5483823297046567,0.006156856448196924,0.0502725219649642,-0.0030698763938410973,-0.31300846050716036,0.5742192609909317,-0.035248950801157454,0.07849332514966506,-0.0025099269957331795,0.012577532898302511
Base_IL10x10:15,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,1048576,3,42,4.814812674898072e-07,-6.317420604871877,0.0,4.256194795206913,1.7570884474203328,0.21402781570005786,-0.20088094534591805,0.6296787752281785,0.23590243805175382,0.032771233235813074,-0.23970870211266082,0.05645458188286159,0.005317770677838493,4.256194795206913,1.7570884474203328,-0.20088094534591805,0.032771233235813074,-0.23970870211266082,0.665747712090826,0.05645458188286159,0.005317770677838493,0.007569220845293577,-0.12950973857479933,0.494938538874022,0.03709048054383354,0.031026255695840412,0.0032866044963576206,0.007237921714203335
Base_IL10x10:16,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,1048576,3,42,4.814812674898072e-07,-6.317420604871877,0.0,6.392482960940329,0.3125610740880982,0.24704628492537797,-0.13857283721591004,0.7268204911014357,0.22355326973666792,0.007077053253188692,-0.3491434414676707,0.03261174204127955,0.12616075392869308,6.392482960940329,0.3125610740880982,-0.13857283721591004,0.007077053253188692,-0.3491434414676707,0.48500700930916807,0.03261174204127955,0.12616075392869308,-0.023434793859128205,-0.2508756270026702,0.43264478464136674,-0.011177787572455527,0.1210627821211324,-0.00954280150821228,0.012074427145578728
Base_IL10x10:17,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,1048576,3,42,4.814812674898072e-07,-6.317420604871877,0.0,5.931168385195659,0.13791677165227623,0.2617903105269231,-0.11339759632769787,0.7701980303822392,0.23859562041742177,-0.03629704816305268,-0.29784380734766847,0.018176261504883384,0.08729366667591451,5.931168385195659,0.13791677165227623,-0.11339759632769787,-0.03629704816305268,-0.29784380734766847,0.5603892163084809,0.018176261504883384,0.08729366667591451,-0.05540984796106711,-0.20202290932020064,0.48611833475700184,-0.01905785292406844,0.09588848457981403,-0.00256925483478452,0.013485152429986057
Base_IL10x10:18,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,1048576,3,42,4.814812674898072e-07,-6.317420604871877,0.0,7.773658814062927,2.3701497597632466,0.0970775349922016,-0.5442324244558802,0.28560616355457963,0.13238392508446087,0.04067526040907503,-0.23098583931416497,0.0363672447774208,0.09595592665708669,7.773658814062927,2.3701497597632466,-0.5442324244558802,0.04067526040907503,-0.23098583931416497,0.5960157288422525,0.0363672447774208,0.09595592665708669,0.007339352547654551,-0.07855660798231309,0.28954700311030146,-0.031909469434472024,0.04619082520041126,-0.012593231725626052,0.0017768231534981502
Base_IL10x10:19,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,1048576,3,42,0.021076063660363544,-1.6762104983084518,0.006311401667314316,4.547035393126114,2.2904345295454998,0.21823181899244598,-0.19243309199996905,0.6420471285450015,0.22106248753069063,-0.08285101523534011,-0.3477193186618611,-0.045151710290327225,-0.006296891940993102,4.547035393126114,2.2904345295454998,-0.19243309199996905,-0.08285101523534011,-0.3477193186618611,0.5179810638714785,-0.045151710290327225,-0.006296891940993102,-0.09428744304990207,-0.24024525324374674,0.41726855354307657,-0.05624879684761361,0.014661362956933866,-0.004167799778306651,0.004376174687458707
Base_IL10x10:20,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,1048576,3,42,4.814812674898072e-07,-6.317420604871877,0.0,7.247053021197886,1.5734660486738161,0.2017523197683125,-0.22653262759893708,0.5935637533636732,0.25074596370561497,0.01846350062518714,-0.2307118030245766,0.06915466301587687,0.06625712039607179,7.247053021197886,1.5734660486738161,-0.22653262759893708,0.01846350062518714,-0.2307118030245766,0.6154129129382876,0.06915466301587687,0.06625712039607179,-0.0044169927860913455,-0.13948661370712082,0.5436828642806112,-0.019173939929235256,0.06250852147994344,-0.01162932540233488,0.00644853182443196
