sample_id,env,il_db,cd_ps_nm,dgd_ps,pol_deg,mlse_ber,log10_ber_mlse,ctle_dc,ctle_dc2,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,ffe_tap_0,ffe_tap_1,ffe_tap_2,ffe_tap_3,ffe_tap_4,ffe_tap_5,ffe_tap_6,ffe_tap_7,ffe_tap_8,tx_fir_0,tx_fir_1,tx_fir_2,tx_fir_3,tx_fir_4,tx_fir_5,tx_fir_6
Base_IL10:0,Base_IL10,10.0,0.0,0.0,0.0,0.013909078895202855,-1.8567016294598613,2.4913478693873334,-2.877194736335542,-0.09923372253034748,-0.05714929902484503,-0.00891162369994462,-0.2510108550181621,0.05681613915757022,0.018215236030227025,-0.08172571231374398,-0.0954912901907981,2.4913478693873334,-2.877194736335542,-0.09923372253034748,-0.05714929902484503,-0.00891162369994462,-0.2510108550181621,0.3314461220343614,0.05681613915757022,0.018215236030227025,-0.08172571231374398,-0.0954912901907981,-0.08442151411664146,-0.13222400392767622,0.18643428334290837,0.11667706202991683,0.03970439738083936,-0.061433042091754035,-0.0871323619627189
Base_IL10:1,Base_IL10,10.0,0.0,0.0,0.0,0.006054248711510506,-2.217939741982364,-1.9467680844748607,-2.993093707483539,-0.051481748765145365,-0.028079228118030375,-0.019402415700050427,-0.2742142260082943,0.020972866125732927,0.12055797579888453,-0.019721615491884906,-0.035664885785065104,-1.9467680844748607,-2.993093707483539,-0.051481748765145365,-0.028079228118030375,-0.019402415700050427,-0.2742142260082943,0.42990503820691206,0.020972866125732927,0.12055797579888453,-0.019721615491884906,-0.035664885785065104,-0.0817642657284811,-0.09372972899252925,0.251503039404895,0.09404096932377201,0.10149571597283766,0.005047419285364196,-0.01707557778175186
Base_IL10:2,Base_IL10,10.0,0.0,0.0,0.0,0.006884333289282411,-2.1621381124594676,-1.0903929279762665,-1.006557167873296,-0.01047380483755337,-0.01084657873008117,-0.10710668626524682,-0.2486332007008264,0.0795135103143289,0.03557835080759252,0.025958299372670603,0.04622262264638297,-1.0903929279762665,-1.006557167873296,-0.01047380483755337,-0.01084657873008117,-0.10710668626524682,-0.2486332007008264,0.4356669463253172,0.0795135103143289,0.03557835080759252,0.025958299372670603,0.04622262264638297,-0.11827047889585295,-0.09029430277193114,0.23320175014461222,0.1135345097031095,0.06562658292941809,0.04709040636971964,0.04500601422970328
Base_IL10:3,Base_IL10,10.0,0.0,0.0,0.0,0.0037167966168891236,-2.429831202848148,-2.760504550294704,0.28744098759970327,-0.019840476347442383,0.018145306417228602,-0.020453640848836357,-0.2789315373162718,0.04970652761795263,0.1443315804005723,0.029293799059165338,0.0797026844211088,-2.760504550294704,0.28744098759970327,-0.019840476347442383,0.018145306417228602,-0.020453640848836357,-0.2789315373162718,0.3595944475714218,0.04970652761795263,0.1443315804005723,0.029293799059165338,0.0797026844211088,-0.07475627382970002,-0.1082540416728496,0.20324452993585224,0.1025040788658455,0.1297125424726387,0.07427119003946465,0.07906870691900357
Base_IL10:4,Base_IL10,10.0,0.0,0.0,0.0,0.0033864146953878683,-2.4702598599037566,2.29345320930047,-1.1463703590676748,0.0503517800507048,-0.0055204238725361406,-0.06693766568875141,-0.2532702291508638,0.022604837624127995,0.0658220222765645,0.08413282601310612,0.024194794935043597,2.29345320930047,-1.1463703590676748,0.0503517800507048,-0.0055204238725361406,-0.06693766568875141,-0.2532702291508638,0.42716542038830163,0.022604837624127995,0.0658220222765645,0.08413282601310612,0.024194794935043597,-0.0858738455165366,-0.10718490282346664,0.21490707233059753,0.11185002377671113,0.09817350287765407,0.09280115279139783,0.05389567017960349
Base_IL10:5,Base_IL10,10.0,0.0,0.0,0.0,0.012476047310691159,-1.9039229870141927,-1.2026211937148936,0.8978525611212005,-0.08637494262654695,0.08812039858140562,0.008633172264061156,-0.33849053178537003,-0.03231572836164146,0.03333704435561127,0.09908817764028854,-0.020355463247470562,-1.2026211937148936,0.8978525611212005,-0.08637494262654695,0.08812039858140562,0.008633172264061156,-0.33849053178537003,0.2932845411376045,-0.03231572836164146,0.03333704435561127,0.09908817764028854,-0.020355463247470562,-0.07705930036830327,-0.22401286537293108,0.16609167412335363,0.019329642451507728,0.06780237426043204,0.09769914667628443,0.01709086142435159
Base_IL10:6,Base_IL10,10.0,0.0,0.0,0.0,0.1388925597991278,-0.8573210179393249,1.5931721656018514,-0.06443845104810708,0.07619128491851748,0.013650160762581532,-0.10150509439968305,-0.36124718828043373,-0.06824511802153065,0.08444953748050779,-0.08270491957378846,0.01200669656295733,1.5931721656018514,-0.06443845104810708,0.07619128491851748,0.013650160762581532,-0.10150509439968305,-0.36124718828043373,0.19999999999999996,-0.06824511802153065,0.08444953748050779,-0.08270491957378846,0.01200669656295733,-0.14462576078739856,-0.26693015400464165,0.019085101063568442,-0.02707896418496954,0.026983735637071748,-0.05017837708872447,-0.01301265845758967
Base_IL10:7,Base_IL10,10.0,0.0,0.0,0.0,0.003853079159508392,-2.4141920685409732,2.5020556471436013,2.310301908579254,0.029240884579487793,0.08661966959767209,-0.1032833769207926,-0.21697121217866583,-0.038161439213555665,0.07489913506748624,-0.08330849609860419,-0.029163697821704318,2.5020556471436013,2.310301908579254,0.029240884579487793,0.08661966959767209,-0.1032833769207926,-0.21697121217866583,0.33835208852203125,-0.038161439213555665,0.07489913506748624,-0.08330849609860419,-0.029163697821704318,-0.109240578777095,-0.14882319672880936,0.2130061238419257,0.08372448380760347,0.08173598833814698,-0.039266880846888605,-0.036904390330250524
Base_IL10:8,Base_IL10,10.0,0.0,0.0,0.0,0.001172855821329457,-2.9307553722404354,-0.11552384585688003,0.49685541046681214,-0.04805250213804977,-0.06438803571872333,-0.1290211750327824,-0.370842212323647,0.029307174078391753,0.12585446017522278,-0.026097173821832634,0.006437266711350342,-0.11552384585688003,0.49685541046681214,-0.04805250213804977,-0.06438803571872333,-0.1290211750327824,-0.370842212323647,0.19999999999999996,0.029307174078391753,0.12585446017522278,-0.026097173821832634,0.006437266711350342,-0.16946724348191036,-0.23350594823811102,0.028337448376190004,0.0351885965081577,0.0719749507166934,0.006345444658687077,0.00581252267070884
Base_IL10:9,Base_IL10,10.0,0.0,0.0,0.0,0.0008424738998282014,-3.0744435448615746,-2.57096261066476,-1.2555355812103035,-9.519506419574109e-05,0.08393979976557642,0.03634615232776624,-0.3339381382663103,-0.07143844505571743,0.1240560733793007,0.050398867118404134,0.029320218800427435,-2.57096261066476,-1.2555355812103035,-9.519506419574109e-05,0.08393979976557642,0.03634615232776624,-0.3339381382663103,0.27046711022230163,-0.07143844505571743,0.1240560733793007,0.050398867118404134,0.029320218800427435,-0.051597490023040586,-0.2054504863446929,0.16038668088840863,0.003538441484932526,0.1277631297423529,0.07903630486369909,0.04905502206590345
