env,num_symbols,n_seeds,log10_ber_mean,log10_ber_std,seed_log10_ber_mean,seed_ber,ref_gdc_db,ref_log10_ber,ref_ber,ref_delta_dex
Base_IL10x10,65536,5,-3.034682037147606,0.05482089173918597,-3.034682037147606,0.0009232471227131429,-5.0,-3.096602771920356,0.0008005661592395054,-0.06192073477274995
Base_IL10x10,131072,5,-3.275878231457657,0.08145577662888144,-3.275878231457657,0.0005298119730368556,-5.0,-3.4489380523896473,0.00035568204931173423,-0.17305982093199024
Base_IL10x10,262144,5,-3.4674733941445526,0.08200270775177389,-3.4674733941445526,0.0003408212036332829,-5.0,-3.7526606527374704,0.00017674182994287992,-0.2851872585929178
Base_IL10x10,524288,5,-3.6034347325877762,0.11526869494923335,-3.6034347325877762,0.00024920988651267904,-5.0,-4.072934541868742,8.454062576554725e-05,-0.4694998092809657
