env,target_rms,gain,gain_ratio,drive_rms_actual,log10_ber,ber
Base_IL10x10,0.06,0.10264815897646452,0.3019951720402016,0.1226845554895527,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.065,0.10264815897646452,0.3019951720402016,0.1226845554895527,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.07,0.10264815897646452,0.3019951720402016,0.1226845554895527,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.075,0.10264815897646452,0.3019951720402016,0.1226845554895527,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.08,0.10264815897646452,0.3019951720402016,0.1226845554895527,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.085,0.10264815897646452,0.3019951720402016,0.1226845554895527,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.09,0.10264815897646452,0.3019951720402016,0.1226845554895527,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.095,0.10264815897646452,0.3019951720402016,0.1226845554895527,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.1,0.10264815897646452,0.3019951720402016,0.1226845554895527,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.105,0.10264815897646452,0.3019951720402016,0.1226845554895527,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.11,0.10264815897646452,0.3019951720402016,0.1226845554895527,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.115,0.10264815897646452,0.3019951720402016,0.1226845554895527,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.12,0.10264815897646452,0.3019951720402016,0.1226845554895527,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.125,0.1045854534897076,0.3076947734325025,0.125,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.13,0.10876887162929591,0.3200025643698026,0.13,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.135,0.11295228976888422,0.33231035530710273,0.135,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.14,0.11713570790847253,0.34461814624440285,0.14,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.145,0.1213191260480608,0.3569259371817029,0.145,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.15,0.1255025441876491,0.369233728119003,0.15,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.155,0.12968596232723742,0.3815415190563031,0.15499999999999997,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.16,0.13386938046682573,0.39384930999360324,0.16,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.165,0.13805279860641403,0.40615710093090335,0.165,-3.7553761964951025,0.0001756401516891727
Base_IL10x10,0.17,0.14223621674600234,0.41846489186820346,0.17,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.175,0.14641963488559065,0.43077268280550357,0.17500000000000002,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.18,0.15060305302517896,0.4430804737428037,0.18000000000000002,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.185,0.15478647116476726,0.4553882646801038,0.18500000000000003,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.19,0.15896988930435557,0.4676960556174039,0.19000000000000003,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.195,0.16315330744394388,0.480003846554704,0.19500000000000003,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.2,0.1673367255835322,0.49231163749200413,0.20000000000000004,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.205,0.17152014372312044,0.5046194284293041,0.205,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.21,0.17570356186270877,0.5169272193666042,0.21,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.215,0.17988698000229705,0.5292350103039043,0.215,-3.738907911102482,0.00018242824867713435
Base_IL10x10,0.22,0.1840703981418854,0.5415428012412045,0.22000000000000003,-3.738907911102482,0.00018242824867713435
IL14x14,0.06,0.10264815897646452,0.3019951720402016,0.08988798663512865,-3.5654235939199075,0.00027200469859552134
IL14x14,0.065,0.10264815897646452,0.3019951720402016,0.08988798663512865,-3.5654235939199075,0.00027200469859552134
IL14x14,0.07,0.10264815897646452,0.3019951720402016,0.08988798663512865,-3.5654235939199075,0.00027200469859552134
IL14x14,0.075,0.10264815897646452,0.3019951720402016,0.08988798663512865,-3.5654235939199075,0.00027200469859552134
IL14x14,0.08,0.10264815897646452,0.3019951720402016,0.08988798663512865,-3.5654235939199075,0.00027200469859552134
IL14x14,0.085,0.10264815897646452,0.3019951720402016,0.08988798663512865,-3.5654235939199075,0.00027200469859552134
IL14x14,0.09,0.10277607335206931,0.3023715014771089,0.09000000000000001,-3.5654235939199075,0.00027200469859552134
IL14x14,0.095,0.10848585520496207,0.31916991822583723,0.09500000000000001,-3.5747377857285785,0.00026623320126243006
IL14x14,0.1,0.1141956370578548,0.3359683349745655,0.10000000000000002,-3.5654235939199075,0.00027200469859552134
IL14x14,0.105,0.11990541891074753,0.35276675172329375,0.105,-3.560990480849565,0.0002747954383903351
IL14x14,0.11,0.12561520076364027,0.36956516847202203,0.11,-3.5780413216653586,0.0002642157352939312
IL14x14,0.115,0.13132498261653303,0.3863635852207503,0.115,-3.567469850606289,0.00027072611396476254
IL14x14,0.12,0.13703476446942575,0.40316200196947855,0.12000000000000001,-3.5780413216653586,0.0002642157352939312
IL14x14,0.125,0.1427445463223185,0.4199604187182069,0.12500000000000003,-3.567469850606289,0.00027072611396476254
IL14x14,0.13,0.14845432817521123,0.4367588354669351,0.13000000000000003,-3.5780413216653586,0.0002642157352939312
IL14x14,0.135,0.154164110028104,0.4535572522156635,0.13500000000000006,-3.5780413216653586,0.0002642157352939312
IL14x14,0.14,0.15987389188099674,0.47035566896439174,0.14000000000000004,-3.5504190097904953,0.00028156650506790435
IL14x14,0.145,0.16558367373388944,0.48715408571311986,0.14500000000000002,-3.5504190097904953,0.00028156650506790435
IL14x14,0.15,0.1712934555867822,0.5039525024618482,0.15000000000000002,-3.567469850606289,0.00027072611396476254
IL14x14,0.155,0.17700323743967494,0.5207509192105765,0.15500000000000003,-3.567469850606289,0.00027072611396476254
IL14x14,0.16,0.18271301929256767,0.5375493359593048,0.16,-3.5413995988791505,0.0002874752108098992
IL14x14,0.165,0.18842280114546042,0.554347752708033,0.16500000000000004,-3.560990480849565,0.0002747954383903351
IL14x14,0.17,0.19413258299835318,0.5711461694567613,0.17000000000000004,-3.567469850606289,0.00027072611396476254
IL14x14,0.175,0.19984236485124587,0.5879445862054895,0.17500000000000002,-3.558450439694944,0.00027640733284307255
IL14x14,0.18,0.20555214670413863,0.6047430029542178,0.18000000000000002,-3.560990480849565,0.0002747954383903351
IL14x14,0.185,0.2112619285570314,0.6215414197029462,0.18500000000000003,-3.560990480849565,0.0002747954383903351
IL14x14,0.19,0.21697171040992413,0.6383398364516745,0.19000000000000003,-3.5780413216653586,0.0002642157352939312
IL14x14,0.195,0.2226814922628169,0.6551382532004028,0.19500000000000003,-3.5780413216653586,0.0002642157352939312
IL14x14,0.2,0.2283912741157096,0.671936669949131,0.20000000000000004,-3.5780413216653586,0.0002642157352939312
IL14x14,0.205,0.23410105596860234,0.6887350866978592,0.20500000000000004,-3.5780413216653586,0.0002642157352939312
IL14x14,0.21,0.23981083782149507,0.7055335034465875,0.21,-3.560990480849565,0.0002747954383903351
IL14x14,0.215,0.24552061967438782,0.7223319201953158,0.21500000000000002,-3.5780413216653586,0.0002642157352939312
IL14x14,0.22,0.25123040152728054,0.7391303369440441,0.22,-3.5780413216653586,0.0002642157352939312
IL20x20,0.06,0.10264815897646452,0.3019951720402016,0.0650811272944752,-2.3460478043309396,0.004507670842819783
IL20x20,0.065,0.10264815897646452,0.3019951720402016,0.0650811272944752,-2.3460478043309396,0.004507670842819783
IL20x20,0.07,0.11040637166348671,0.32482015788021984,0.07,-2.486658379854849,0.0032609310806426487
IL20x20,0.075,0.11829254106802146,0.3480215977288069,0.07500000000000001,-2.6532240663625077,0.0022221631100862423
IL20x20,0.08,0.12617871047255624,0.3712230375773941,0.08,-2.80536489520469,0.0015654352351811766
IL20x20,0.085,0.134064879877091,0.39442447742598125,0.08500000000000002,-2.9203645991713025,0.0012012555323941195
IL20x20,0.09,0.14195104928162577,0.4176259172745683,0.09000000000000001,-3.024178090847673,0.0009458492180732761
IL20x20,0.095,0.14983721868616054,0.44082735712315546,0.09500000000000001,-3.105451317505608,0.0007844200439782656
IL20x20,0.1,0.1577233880906953,0.4640287969717426,0.1,-3.1706501950948236,0.0006750715489099915
IL20x20,0.105,0.16560955749523004,0.4872302368203297,0.105,-3.198240087740075,0.0006335193906907994
IL20x20,0.11,0.17349572689976483,0.5104316766689169,0.11000000000000003,-3.2498925444682603,0.000562480479991536
IL20x20,0.115,0.1813818963042996,0.533633116517504,0.11500000000000002,-3.2930913630745544,0.0005092237337530947
IL20x20,0.12,0.18926806570883437,0.5568345563660911,0.12000000000000002,-3.307943490371219,0.0004921035631598345
IL20x20,0.125,0.19715423511336913,0.5800359962146783,0.125,-3.3148670302141894,0.00048432063139010296
IL20x20,0.13,0.2050404045179039,0.6032374360632654,0.13000000000000003,-3.3342355644878587,0.0004631956109159999
IL20x20,0.135,0.21292657392243866,0.6264388759118525,0.135,-3.3394062743623416,0.0004577135039544358
IL20x20,0.14,0.22081274332697343,0.6496403157604397,0.14,-3.355050602369262,0.0004415190002130327
IL20x20,0.145,0.22869891273150816,0.6728417556090267,0.145,-3.372286901104004,0.00042433914686449754
IL20x20,0.15,0.23658508213604293,0.6960431954576138,0.15000000000000002,-3.3577523639853717,0.0004387808205962089
IL20x20,0.155,0.2444712515405777,0.719244635306201,0.15500000000000003,-3.3676338128988994,0.0004289100150167341
IL20x20,0.16,0.2523574209451125,0.7424460751547882,0.16,-3.3703368532532703,0.000426248777813894
IL20x20,0.165,0.2602435903496473,0.7656475150033754,0.16500000000000004,-3.3737162827621376,0.0004229448267334607
IL20x20,0.17,0.268129759754182,0.7888489548519625,0.17000000000000004,-3.3805018322036227,0.00041638796436193693
IL20x20,0.175,0.27601592915871676,0.8120503947005495,0.175,-3.384655714878098,0.0004124243371951495
IL20x20,0.18,0.28390209856325155,0.8352518345491367,0.18000000000000002,-3.382615224880629,0.000414366631731363
IL20x20,0.185,0.2917882679677863,0.8584532743977238,0.185,-3.3791231091414105,0.00041771194136176504
IL20x20,0.19,0.2996744373723211,0.8816547142463109,0.19000000000000003,-3.385400795013867,0.0004117173843086571
IL20x20,0.195,0.3075606067768558,0.9048561540948981,0.19499999999999998,-3.384059261790371,0.0004129911433084376
IL20x20,0.2,0.3154467761813906,0.9280575939434852,0.2,-3.373752812134447,0.00042290925349930115
IL20x20,0.205,0.32333294558592535,0.9512590337920723,0.205,-3.3812300899115475,0.00041569031874758104
IL20x20,0.21,0.3312191149904601,0.9744604736406594,0.21,-3.3806774712706464,0.0004162196011658722
IL20x20,0.215,0.3391052843949949,0.9976619134892465,0.215,-3.370943257881828,0.0004256540227123275
IL20x20,0.22,0.34699145379952967,1.0208633533378337,0.22000000000000006,-3.366268096851884,0.0004302609216218443
IL20x10_TxHeavy,0.06,0.10264815897646452,0.3019951720402016,0.0650811272944752,-3.2405177816498383,0.0005747542857611615
IL20x10_TxHeavy,0.065,0.10264815897646452,0.3019951720402016,0.0650811272944752,-3.2405177816498383,0.0005747542857611615
IL20x10_TxHeavy,0.07,0.11040637166348671,0.32482015788021984,0.07,-3.376634811288829,0.0004201120985629117
IL20x10_TxHeavy,0.075,0.11829254106802146,0.3480215977288069,0.07500000000000001,-3.4444602864683755,0.0003593682572469011
IL20x10_TxHeavy,0.08,0.12617871047255624,0.3712230375773941,0.08,-3.476510211154211,0.00033380265668847824
IL20x10_TxHeavy,0.085,0.134064879877091,0.39442447742598125,0.08500000000000002,-3.5086408393496185,0.00030999819181511915
IL20x10_TxHeavy,0.09,0.14195104928162577,0.4176259172745683,0.09000000000000001,-3.5142699191753124,0.000306006097833354
IL20x10_TxHeavy,0.095,0.14983721868616054,0.44082735712315546,0.09500000000000001,-3.523745884407871,0.00029940159911226417
IL20x10_TxHeavy,0.1,0.1577233880906953,0.4640287969717426,0.1,-3.5247019360074354,0.00029874322431348616
IL20x10_TxHeavy,0.105,0.16560955749523004,0.4872302368203297,0.105,-3.5346212142200315,0.00029199726644090607
IL20x10_TxHeavy,0.11,0.17349572689976483,0.5104316766689169,0.11000000000000003,-3.528588473522433,0.0002960816732839731
IL20x10_TxHeavy,0.115,0.1813818963042996,0.533633116517504,0.11500000000000002,-3.527613622516661,0.00029674702759622824
IL20x10_TxHeavy,0.12,0.18926806570883437,0.5568345563660911,0.12000000000000002,-3.528588473522433,0.0002960816732839731
IL20x10_TxHeavy,0.125,0.19715423511336913,0.5800359962146783,0.125,-3.528588473522433,0.0002960816732839731
IL20x10_TxHeavy,0.13,0.2050404045179039,0.6032374360632654,0.13000000000000003,-3.528588473522433,0.0002960816732839731
IL20x10_TxHeavy,0.135,0.21292657392243866,0.6264388759118525,0.135,-3.5304803464372996,0.0002947946879977554
IL20x10_TxHeavy,0.14,0.22081274332697343,0.6496403157604397,0.14,-3.528588473522433,0.0002960816732839731
IL20x10_TxHeavy,0.145,0.22869891273150816,0.6728417556090267,0.145,-3.528588473522433,0.0002960816732839731
IL20x10_TxHeavy,0.15,0.23658508213604293,0.6960431954576138,0.15000000000000002,-3.528588473522433,0.0002960816732839731
IL20x10_TxHeavy,0.155,0.2444712515405777,0.719244635306201,0.15500000000000003,-3.528588473522433,0.0002960816732839731
IL20x10_TxHeavy,0.16,0.2523574209451125,0.7424460751547882,0.16,-3.528588473522433,0.0002960816732839731
IL20x10_TxHeavy,0.165,0.2602435903496473,0.7656475150033754,0.16500000000000004,-3.528588473522433,0.0002960816732839731
IL20x10_TxHeavy,0.17,0.268129759754182,0.7888489548519625,0.17000000000000004,-3.528588473522433,0.0002960816732839731
IL20x10_TxHeavy,0.175,0.27601592915871676,0.8120503947005495,0.175,-3.528588473522433,0.0002960816732839731
IL20x10_TxHeavy,0.18,0.28390209856325155,0.8352518345491367,0.18000000000000002,-3.528588473522433,0.0002960816732839731
IL20x10_TxHeavy,0.185,0.2917882679677863,0.8584532743977238,0.185,-3.528588473522433,0.0002960816732839731
IL20x10_TxHeavy,0.19,0.2996744373723211,0.8816547142463109,0.19000000000000003,-3.528588473522433,0.0002960816732839731
IL20x10_TxHeavy,0.195,0.3075606067768558,0.9048561540948981,0.19499999999999998,-3.528588473522433,0.0002960816732839731
IL20x10_TxHeavy,0.2,0.3154467761813906,0.9280575939434852,0.2,-3.528588473522433,0.0002960816732839731
IL20x10_TxHeavy,0.205,0.32333294558592535,0.9512590337920723,0.205,-3.528588473522433,0.0002960816732839731
IL20x10_TxHeavy,0.21,0.3312191149904601,0.9744604736406594,0.21,-3.528588473522433,0.0002960816732839731
IL20x10_TxHeavy,0.215,0.3391052843949949,0.9976619134892465,0.215,-3.528588473522433,0.0002960816732839731
IL20x10_TxHeavy,0.22,0.34699145379952967,1.0208633533378337,0.22000000000000006,-3.528588473522433,0.0002960816732839731
IL10x20_RxHeavy,0.06,0.10264815897646452,0.3019951720402016,0.1226845554895527,-3.525663832086598,0.0002980822858173991
IL10x20_RxHeavy,0.065,0.10264815897646452,0.3019951720402016,0.1226845554895527,-3.525663832086598,0.0002980822858173991
IL10x20_RxHeavy,0.07,0.10264815897646452,0.3019951720402016,0.1226845554895527,-3.525663832086598,0.0002980822858173991
IL10x20_RxHeavy,0.075,0.10264815897646452,0.3019951720402016,0.1226845554895527,-3.525663832086598,0.0002980822858173991
IL10x20_RxHeavy,0.08,0.10264815897646452,0.3019951720402016,0.1226845554895527,-3.525663832086598,0.0002980822858173991
IL10x20_RxHeavy,0.085,0.10264815897646452,0.3019951720402016,0.1226845554895527,-3.525663832086598,0.0002980822858173991
IL10x20_RxHeavy,0.09,0.10264815897646452,0.3019951720402016,0.1226845554895527,-3.525663832086598,0.0002980822858173991
IL10x20_RxHeavy,0.095,0.10264815897646452,0.3019951720402016,0.1226845554895527,-3.525663832086598,0.0002980822858173991
IL10x20_RxHeavy,0.1,0.10264815897646452,0.3019951720402016,0.1226845554895527,-3.525663832086598,0.0002980822858173991
IL10x20_RxHeavy,0.105,0.10264815897646452,0.3019951720402016,0.1226845554895527,-3.525663832086598,0.0002980822858173991
IL10x20_RxHeavy,0.11,0.10264815897646452,0.3019951720402016,0.1226845554895527,-3.525663832086598,0.0002980822858173991
IL10x20_RxHeavy,0.115,0.10264815897646452,0.3019951720402016,0.1226845554895527,-3.525663832086598,0.0002980822858173991
IL10x20_RxHeavy,0.12,0.10264815897646452,0.3019951720402016,0.1226845554895527,-3.525663832086598,0.0002980822858173991
IL10x20_RxHeavy,0.125,0.1045854534897076,0.3076947734325025,0.125,-3.5257021956292367,0.00029805595578583256
IL10x20_RxHeavy,0.13,0.10876887162929591,0.3200025643698026,0.13,-3.5295118411483153,0.000295452833142284
