env,n_steps,pred_drop_total_dex,real_best_delta_dex,real_final_delta_dex,best_step,reg_slope_pred_to_real,corr_pred_real,disp_best_sigma,disp_end_sigma,disp_best_over_rho,disp_end_over_rho
Base_IL10x10,4,-0.2937823105175732,-0.33514254001214594,-0.3255941461956362,2,0.06672433624806104,0.9118467661559018,0.7357111375417377,0.6827708805413395,0.4201949947015527,0.3899586289940686
IL14x14,4,-0.2937823105175732,-0.25241121336061356,-0.2522086033523121,2,0.07208761843216112,0.993946577334429,0.7357111375417377,0.6827708805413395,0.4201949947015527,0.3899586289940686
IL20x20,4,-0.2937823105175732,-0.05160492755447721,0.009740683664576588,1,-0.09416173397695493,-0.5065599595083727,0.37483299315870894,0.6827708805413395,0.21408259238885796,0.3899586289940686
IL20x10_TxHeavy,4,-0.2937823105175732,-0.16921576040948194,-0.16921576040948194,3,-0.09495916285220343,-0.3675018046413579,0.6827708805413395,0.6827708805413395,0.3899586289940686,0.3899586289940686
IL10x20_RxHeavy,4,-0.2937823105175732,-0.5761218803684058,-0.5676959944107525,2,0.4008041120137094,0.988172061898269,0.7357111375417377,0.6827708805413395,0.4201949947015527,0.3899586289940686
IL16x10,4,-0.2937823105175732,-0.14326451947338947,-0.13950024707873165,2,0.028980466741519145,0.7354456397971567,0.7357111375417377,0.6827708805413395,0.4201949947015527,0.3899586289940686
IL10x16,4,-0.2937823105175732,-0.4131033397750121,-0.40397281930017437,2,0.17733794678969692,0.9742276567120736,0.7357111375417377,0.6827708805413395,0.4201949947015527,0.3899586289940686
CD15ps,4,-0.2937823105175732,-0.32977345486754794,-0.3147239088775966,2,0.1022795929668195,0.8904806310673157,0.7357111375417377,0.6827708805413395,0.4201949947015527,0.3899586289940686
CD28ps,4,-0.2937823105175732,-0.3565244124336835,-0.3302906944623083,2,0.11494842450884227,0.8808164664964504,0.7357111375417377,0.6827708805413395,0.4201949947015527,0.3899586289940686
DGD2ps,4,-0.2937823105175732,-0.23038859055684835,-0.21084008625259054,2,0.05493339702870005,0.7515285483504499,0.7357111375417377,0.6827708805413395,0.4201949947015527,0.3899586289940686
DGD5ps,4,-0.2937823105175732,-0.2864275889403616,-0.28576815039872727,2,0.0013835207162721233,0.044438788093586944,0.7357111375417377,0.6827708805413395,0.4201949947015527,0.3899586289940686
Comb_IL20x20_CD15_DGD5,4,-0.2937823105175732,-0.020489280091508633,0.029078486781111135,1,-0.04974018499005287,-0.35368045578173307,0.37483299315870894,0.6827708805413395,0.21408259238885796,0.3899586289940686
Comb_IL20x10_CD15_DGD5,4,-0.2937823105175732,-0.02261616728826432,-0.02261616728826432,3,-0.586242633916302,-0.5175395594807136,0.6827708805413395,0.6827708805413395,0.3899586289940686,0.3899586289940686
HighNoise_IL10x10,4,-0.2937823105175732,-0.4951833674431785,-0.4888351572420615,2,0.3113005308772601,0.9982222431827433,0.7357111375417377,0.6827708805413395,0.4201949947015527,0.3899586289940686
HighNoise_IL16x16,4,-0.2937823105175732,-0.04398445762350667,-0.008290804733539048,1,-0.5839892626541043,-0.5548226958821991,0.37483299315870894,0.6827708805413395,0.21408259238885796,0.3899586289940686
