env,n_steps,pred_drop_total_dex,real_best_delta_dex,real_final_delta_dex,best_step,reg_slope_pred_to_real,corr_pred_real,disp_best_sigma,disp_end_sigma,disp_best_over_rho,disp_end_over_rho
Base_IL10x10,13,-0.3109950155553314,-0.34361073327017744,-0.3255941461956362,6,0.01927303403117056,0.35146537407120326,1.4221858138845347,2.412887065357601,0.9151664792611248,1.5526757044683217
IL14x14,13,-0.3109950155553314,-0.26486080301775017,-0.25241121336061356,9,0.0280688091769133,0.5449691077727009,2.0587984514778856,2.412887065357601,1.3248221940851417,1.5526757044683217
IL20x20,13,-0.3109950155553314,-0.2860867172907928,-0.22465447519135306,11,0.8855027268462599,0.9740879955635701,2.375240898537458,2.412887065357601,1.5284506632605457,1.5526757044683217
IL20x10_TxHeavy,13,-0.3109950155553314,-0.2028775694786229,-0.20095962179989613,8,0.16452279830838568,0.7646006713857055,1.8640728059895806,2.412887065357601,1.1995176230061826,1.5526757044683217
IL10x20_RxHeavy,13,-0.3109950155553314,-0.5771033405839989,-0.5771033405839989,4,0.06181852448744037,0.6200212870143305,0.9706927431404017,2.412887065357601,0.6246338920775146,1.5526757044683217
IL16x10,13,-0.3109950155553314,-0.1500545831638438,-0.1500545831638438,9,0.013957971653848005,0.3006414879498198,2.0587984514778856,2.412887065357601,1.3248221940851417,1.5526757044683217
IL10x16,13,-0.3109950155553314,-0.42007437915835943,-0.41652894087643144,7,0.038362520459669425,0.5704400430797548,1.648757606836769,2.412887065357601,1.0609638202496572,1.5526757044683217
CD15ps,13,-0.3109950155553314,-0.33085365542602574,-0.33085365542602574,5,0.008124083819171627,0.1927076444331604,1.1901665286548242,2.412887065357601,0.7658637156479897,1.5526757044683217
CD28ps,13,-0.3109950155553314,-0.348056219175652,-0.348056219175652,10,0.00888098934457608,0.20548513059265922,2.2371941334546284,2.412887065357601,1.4396185495234741,1.5526757044683217
DGD2ps,13,-0.3109950155553314,-0.23038859055684835,-0.2209440576755366,8,0.02215573320911105,0.38043791753156236,1.8640728059895806,2.412887065357601,1.1995176230061826,1.5526757044683217
DGD5ps,13,-0.3109950155553314,-0.2958721218216738,-0.2893647419208487,6,0.016134679889374323,0.3340191733257182,1.4221858138845347,2.412887065357601,0.9151664792611248,1.5526757044683217
Comb_IL20x20_CD15_DGD5,13,-0.3109950155553314,-0.1749037202721957,-0.13853379203395733,11,0.5891450452677908,0.9706482798869889,2.375240898537458,2.412887065357601,1.5284506632605457,1.5526757044683217
Comb_IL20x10_CD15_DGD5,13,-0.3109950155553314,-0.1381966518327271,-0.132628087331776,9,0.2843990804279179,0.7971042024602,2.0587984514778856,2.412887065357601,1.3248221940851417,1.5526757044683217
HighNoise_IL10x10,13,-0.3109950155553314,-0.4945510575920742,-0.48892476716587696,11,0.2571622493018872,0.8112834636756093,2.375240898537458,2.412887065357601,1.5284506632605457,1.5526757044683217
HighNoise_IL16x16,13,-0.3109950155553314,-0.2367657813522701,-0.23067007322321453,7,0.42441929216429575,0.8733867515004048,1.648757606836769,2.412887065357601,1.0609638202496572,1.5526757044683217
