case,final_mlse,steps
"Baseline (SNR=26.5, CD=15dB loss)",0.0007202535292422932,10
"Low SNR (SNR=24.0, CD=15dB loss)",0.0007202535292422932,10
"High SNR (SNR=30.0, CD=15dB loss)",0.0007202535292422932,10
"High Dispersion (SNR=26.5, CD=20dB loss)",0.0007202535292422932,10
