env,deep_symbols,seed_ber_deep,best_ber_deep,improve_x
Base_IL10x10,524288,0.00029155834392881704,8.676489584381163e-05,3.3603260983988372
IL14x14,524288,0.00031167544011301355,0.0001379846400884411,2.258769091351367
IL20x20,524288,0.060874386968964855,0.05842790897865907,1.0418717361800396
IL20x10_TxHeavy,524288,0.0003086389374566979,0.00017196530983346357,1.7947744097666747
IL10x20_RxHeavy,524288,0.0009206230637845326,0.00014713188543682412,6.257128161249808
IL16x10,524288,0.00019546668069323812,0.00012059159750199247,1.6208980123180516
IL10x16,524288,0.00048034261671675495,0.00012040468320085771,3.9894014414327463
CD15ps,524288,0.0002949526197496234,8.49618470994263e-05,3.4715890699087097
CD28ps,524288,0.000333365945321326,8.709606277858202e-05,3.827566191698217
DGD2ps,524288,0.00023264272002910817,8.776605882172585e-05,2.6507139907200568
DGD5ps,524288,0.00024904853334605686,8.743234434888288e-05,2.8484714118184224
Comb_IL20x20_CD15_DGD5,524288,0.07717297975724806,0.07542599192588434,1.0231616156016927
Comb_IL20x10_CD15_DGD5,524288,0.0002536798915282095,0.00026701797634198717,0.9500479892908231
HighNoise_IL10x10,524288,0.00047374385455169047,0.00010979807718468724,4.314682612836869
HighNoise_IL16x16,524288,0.0005590750663457539,0.0004699064494786935,1.1897582315926556
