step,predA,predB,real,gdc,gdc2,taps
0,-0.7804548579141013,-1.7157351817655602,-1.105436877957243,-0.0024512974216956917,0.006064733504961107,"[0.0039, 0.0084, -0.021, -0.2922, 0.6036, -0.0002, 0.0566, 0.0063, 0.0079]"
1,-0.7804663591515878,-1.6925978821136982,-1.0853241275546759,-0.004763343032868347,0.012306501574722066,"[0.0081, 0.0168, -0.0101, -0.2875, 0.5934, -0.0002, 0.0553, 0.0127, 0.016]"
2,-0.7804765763667919,-1.6616411611210815,-1.0651012737979229,-0.006929124838327805,0.0185066630980201,"[0.0124, 0.025, -0.0008, -0.2844, 0.58, -0.0002, 0.0542, 0.0191, 0.0239]"
3,-0.780485886987332,-1.6006472040242887,-1.0382836390685735,-0.00894040287116815,0.024491853669869574,"[0.0167, 0.0329, 0.007, -0.2824, 0.551, -0.0002, 0.0532, 0.0251, 0.0316]"
4,-0.780494670325166,-1.5405899736301005,-1.0265714280603193,-0.010732677322527251,0.029918319737316026,"[0.0206, 0.0402, 0.0144, -0.2812, 0.522, -0.0003, 0.0521, 0.0306, 0.0386]"
5,-0.7805028799204567,-1.4849363266110702,-0.9918732761037106,-0.012346234316125951,0.034847933152133595,"[0.0242, 0.0469, 0.0214, -0.2806, 0.4949, -0.0005, 0.051, 0.0355, 0.045]"
6,-0.7805104733112239,-1.433724399323534,-0.9593159629696357,-0.013816803221686616,0.039356495219455556,"[0.0275, 0.0531, 0.028, -0.2803, 0.4698, -0.0009, 0.0497, 0.0398, 0.0508]"
