real_lb,real_ber,predA,predB,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
-2.744574596327337,0.0018006338231057331,-2.150586771556469,-1.5551386725729661,-0.0010418257776744434,-0.039828689668282624,0.00804052384959135,-0.3107420119833177,0.04949972285848129,0.013410744257672892,-0.04500877550760929,-0.02303538069730461,0.6400976857082652,0.5510688349052093
-2.456772866397111,0.0034932296168251223,-2.0362338893010077,-1.5005438066115526,0.03616161262196781,-0.04713070935350129,-0.03942478264609021,-0.28610846050980443,0.029159086235070075,0.033944171079875844,7.499527609344803e-06,0.04367889680131041,-0.754072640981372,0.7337013284106038
-3.091362082551993,0.00081028522039758,-2.2881129162753804,-1.5684992646408507,0.044641152169607345,-0.015267020056429742,0.013312433992878278,-0.28043990334660235,-0.035059467131289324,0.009008518632881046,0.044222989957791184,-0.03486194628865476,-0.020974208483033663,0.8495294117800161
-2.3904661571799357,0.004069432440218957,-1.9184445831598567,-1.3858477264621964,0.010838544274344164,0.01125414179662112,-0.05068632337590418,-0.32902067023997555,0.03217994646519693,0.06119898879335501,0.02271743948232966,-0.03500622373675346,0.6056650756732751,0.6948512972979519
-2.128099082438771,0.007445620858542207,-2.0750231608416145,-1.5286424153592773,-0.028779332174272976,-0.009800553589968048,-0.07651631801644737,-0.30844525041060983,-0.0010661952782375418,0.03863038175439691,0.009847507324894922,0.017431426964372523,-0.6835924078766783,-0.262377979223096
-2.941800871035361,0.0011434024776721405,-2.1212738457479254,-1.5579681697502086,0.017731226568309732,0.04733635988798798,-0.05409875273724252,-0.2560127196685179,0.012794939422902985,0.019616333784882582,-0.003027230173031792,0.04770092304741615,0.0007084038529592274,0.4470002768996464
-1.804307204881325,0.015692523768366464,-1.7269521049849055,-1.206416444416681,-0.00934176042304975,0.033936672365352784,-0.07179408373968799,-0.33228464669861396,-0.045733855778646984,0.08613406006361746,0.035995836169826705,0.03983882651011376,-0.4989276017016274,0.09283319875480389
-2.3895063899784863,0.004078435609334486,-1.8811873978883398,-1.3540503150190901,-0.03778627527101881,0.022832633197534893,-0.030456795043582514,-0.32480369123056413,0.009780640306986166,0.08679154279854241,0.038425086381425035,0.02516013868634012,0.04767602840469065,-0.8381819984586976
-1.724006161525974,0.018879645635263613,-1.9846940861212479,-1.4401797719879135,-0.03865410582494722,-0.018213176141240874,-0.06325387747944544,-0.3440009208307482,0.03019323850967255,0.015464047157962534,-0.010949490457456346,-0.005627146393549865,0.9863014905947622,0.058683692910605156
-2.388548739134214,0.004087438778450014,-1.8962127299943465,-1.3303396381645662,0.016603237855514597,0.008539635319817884,-0.02311288369469016,-0.29961272533202293,-0.04720360551630037,0.10361445846690845,0.04829133854866374,0.046046357879058,-0.13434500981280373,-0.03742973674016703
-3.0962145853464054,0.0008012820512820513,-2.314079443945766,-1.5605329968136046,0.028388086274337723,-0.024429601216730858,0.005286299589350868,-0.2695729001798508,-0.04978801534760796,0.05762631555500662,-0.025983818303816186,-0.026139473955565908,0.854819540765883,0.3493633837834669
-2.9737225846851927,0.0010623739556323826,-2.259867325234814,-1.6558449816922305,0.0187245876945358,0.0018180344766824176,-0.0042517704634613615,-0.34025569898717906,0.01999136855697429,0.010278370827337076,-0.029684211383862076,-0.046894606752570976,-0.2472967883637729,-0.9271752092665015
-2.5015365476410425,0.0031511091904350332,-2.1526042764720543,-1.6493920007480303,-0.03335711864947435,-0.019380769913110486,-0.04198837276349672,-0.27622167263803704,0.00045691763241485496,0.0478226275288381,-0.003664201913321119,0.007728121749082751,0.194019799081095,-0.7782020479704159
-3.1011219198411495,0.0007922788821665227,-2.133627760151045,-1.558692754524545,0.0050864598976486436,0.03904444547064813,0.0020998865542985953,-0.2608192076996813,-0.003253399151179204,0.10579253631725481,-0.013300657918134312,-0.04919253778184379,-0.8173722043008741,-0.09655135079053345
-2.5528442029644802,0.0027999855949294153,-2.156444186800932,-1.519498055828259,0.02709538763630827,-0.005967754773088036,-0.049711082506393764,-0.32849697976569714,-0.019019410249844815,0.039995400706385895,0.004885474413130231,-0.03238332810316861,-0.3506504939959286,0.40163539348060495
