sample_id,env,il_tx_db,il_rx_db,cd_ps_nm,dgd_ps,pol_deg,num_symbols,n_sim_seeds,sim_seed0,mlse_ber,log10_ber_mlse,ber_std_log10,ctle_dc,ctle_dc2,driver_gain,drive_rms,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,ffe_tap_0,ffe_tap_1,ffe_tap_2,ffe_tap_3,ffe_tap_4,ffe_tap_5,ffe_tap_6,ffe_tap_7,ffe_tap_8,tx_fir_0,tx_fir_1,tx_fir_2,tx_fir_3,tx_fir_4,tx_fir_5,tx_fir_6
Base_IL10x10:0,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.0591213527559272,-1.2282556374056313,0.0281557098737896,0.7663478693873336,1.3603052636644584,2.0019662561742733,0.2297295198658631,-0.0836087225303474,-0.065899299024845,0.0154633763000553,-0.3022608550181621,0.0155661391575702,0.141340236030227,0.088274287686256,0.0807587098092019,0.7663478693873336,1.3603052636644584,2.0019662561742733,-0.0836087225303474,-0.065899299024845,0.0154633763000553,-0.3022608550181621,0.2068283744433346,0.0155661391575702,0.141340236030227,0.088274287686256,0.0807587098092019,-0.4387290232069597,-1.0,0.2938853000905688,0.2593883746415685,0.6528648714758225,0.6215380527326324,0.5300484014865086
Base_IL10x10:1,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.0069367494734915,-2.1588439901256558,0.00480582116333,-1.6805937074835384,0.2857858548733991,2.102017106349594,0.2399825832620095,0.0431707718819696,-0.0697774157000504,0.0092357739917057,-0.2146021338742671,0.0404829757988845,0.1391033845081151,-0.0587898857850651,0.0951077305175046,-1.6805937074835384,0.2857858548733991,2.102017106349594,0.0431707718819696,-0.0697774157000504,0.0092357739917057,-0.2146021338742671,0.3297299279424377,0.0404829757988845,0.1391033845081151,-0.0587898857850651,0.0951077305175046,-0.279567282069062,-0.4230526338262872,1.0,0.5364367664142041,0.5813583840009451,0.1068048281539493,0.3914038106165657
Base_IL10x10:2,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.0281447502446401,-1.5506026008981078,0.0058086863173884,-1.3077142904232717,1.9131091925168584,1.6614817957558183,0.1902018841146729,-0.0924816862652468,-0.0480582007008263,-0.0294864896856711,-0.2263216491924075,-0.0221667006273293,4.762264638297209e-05,0.0980285690674577,-0.0223019055957765,-1.3077142904232717,1.9131091925168584,1.6614817957558183,-0.0924816862652468,-0.0480582007008263,-0.0294864896856711,-0.2263216491924075,0.4611071762189014,-0.0221667006273293,4.762264638297209e-05,0.0980285690674577,-0.0223019055957765,-0.3777352233772738,-0.3238950258173488,1.0,0.220658679430875,0.1979924988746935,0.3102771393938859,0.0723510048682915
Base_IL10x10:3,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.0021190911546473,-2.673850361312392,0.0034863179978408,-0.4093627161760843,-1.5506299706625422,1.905273854245681,0.2178117424901635,0.0597684626837282,0.0640815276179526,-0.0547434195994276,-0.2081562009408346,-0.0046723155788912,0.0493081816568432,0.0808313662533234,-0.0296482199492952,-0.4093627161760843,-1.5506299706625422,1.905273854245681,0.0597684626837282,0.0640815276179526,-0.0547434195994276,-0.2081562009408346,0.4487903057197038,-0.0046723155788912,0.0493081816568432,0.0808313662533234,-0.0296482199492952,-0.2489515245829745,-0.2113138152256078,1.0,0.319240906117027,0.3036232076589407,0.263607566243956,0.0186208941162968
Base_IL10x10:4,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.0083827135866939,-2.076615372185948,0.3614293990243598,-0.8210048320781651,-0.3124659535611007,2.0540463581917927,0.2346960867191592,0.075104837624128,0.0669970222765644,-0.0167421739868938,-0.3632552050649564,0.0851984403100156,0.0749876546977442,0.068625057373453,0.0274953985814056,-0.8210048320781651,-0.3124659535611007,2.0540463581917927,0.075104837624128,0.0669970222765644,-0.0167421739868938,-0.3632552050649564,0.2215942100848386,0.0851984403100156,0.0749876546977442,0.068625057373453,0.0274953985814056,-0.1908882620210752,-1.0,0.3446038924976321,0.4208419676488351,0.4211870497712563,0.3702643306616857,0.2269912101786897
Base_IL10x10:5,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.0057874250623212,-2.237514619340048,0.2041547968343061,1.8044062714234497,2.6130990314999885,1.970145064372944,0.2239876589399843,0.0395120443556112,-0.0440368223597114,0.0243945367525294,-0.2762873731238298,-0.0894465812959599,0.0821572481488809,-0.0502944351288394,0.0521467274334492,1.8044062714234497,2.6130990314999885,1.970145064372944,0.0395120443556112,-0.0440368223597114,0.0243945367525294,-0.2762873731238298,0.3417242314011883,-0.0894465812959599,0.0821572481488809,-0.0502944351288394,0.0521467274334492,-0.1993904404858193,-1.0,0.8768626970582766,0.1735587380269346,0.3483999780378251,0.0050644347456207,0.2348037470121016
Base_IL10x10:6,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.0498778579283955,-1.3020922061528708,0.0017083595761785,-2.68234317640667,-1.7490259479754122,2.274082519506979,0.2591815588577454,0.0786056207176204,0.055684338466983,0.0337455446700543,-0.2874557376780211,-0.0960791058366875,0.1024535591698051,0.0541361299833152,-0.0918399634775131,-2.68234317640667,-1.7490259479754122,2.274082519506979,0.0786056207176204,0.055684338466983,0.0337455446700543,-0.2874557376780211,0.1999999999999999,-0.0960791058366875,0.1024535591698051,0.0541361299833152,-0.0918399634775131,-0.0431142838083712,-1.0,0.4722998129224895,-0.1963614017697832,0.4427537292307857,0.2341474655623274,-0.3087598647056542
Base_IL10x10:7,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.3754468815310982,-0.4254514985792985,0.0007853415323343,0.7483116026104566,2.9489557621763165,2.0610566336554643,0.2361125428035151,-0.0833091185546657,-0.0345369459959474,-0.0928901666509716,-0.3453775738885121,-0.0628645416560127,0.0523681692719021,0.0399160678947512,-0.0887374160872367,0.7483116026104566,2.9489557621763165,2.0610566336554643,-0.0833091185546657,-0.0345369459959474,-0.0928901666509716,-0.3453775738885121,0.1999999999999999,-0.0628645416560127,0.0523681692719021,0.0399160678947512,-0.0887374160872367,-0.5207647765032718,-1.0,-0.056563505739275,-0.1738345238174668,0.0188959115953521,0.023941102064779,-0.2269219302483914
Base_IL10x10:8,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.0002382077939916,-3.6230440328105495,0.0254455145180317,-1.713033986447876,-1.8766434359871769,1.7683812315558731,0.2016620769755392,0.067399205138104,-0.0790631529844396,0.0077798049358042,-0.3897602002344236,0.0003461523277662,-0.0120381382663102,0.0816865549442825,-0.0391439266206993,-1.713033986447876,-1.8766434359871769,1.7683812315558731,0.067399205138104,-0.0790631529844396,0.0077798049358042,-0.3897602002344236,0.32278286454817,0.0003461523277662,-0.0120381382663102,0.0816865549442825,-0.0391439266206993,-0.2972558208260759,-1.0,0.6202668812720478,0.1687382909981974,0.0842795384091206,0.2306703038079593,-0.0330241650482476
Base_IL10x10:9,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.0063359637503629,-2.198187316119064,0.0182648308351506,0.8198954707154029,-1.3518073305403782,1.6128043675108006,0.1842909621974222,0.0550238139596565,0.0988071370683077,-0.0206873169586317,-0.2238661687259122,0.0112692647641576,0.1183382806850213,-0.0229480563682243,0.0597191490611601,0.8198954707154029,-1.3518073305403782,1.6128043675108006,0.0550238139596565,0.0988071370683077,-0.0206873169586317,-0.2238661687259122,0.3893408124089282,0.0112692647641576,0.1183382806850213,-0.0229480563682243,0.0597191490611601,-0.0631579645212336,-0.4697495655724267,1.0,0.5488671999613495,0.5499850087904178,0.1825505942814455,0.253558522969421
Base_IL10x10:10,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.0420490148373519,-1.3762441747938656,0.0104660945951264,-1.4518517444957832,-2.561762040763171,1.6387996938471476,0.1869324689225177,-0.080909860181146,-0.056376477102997,0.0208087771099058,-0.2021870122305887,-0.082610482989337,0.1164146160724422,-0.047349074706147,0.0226753356525306,-1.4518517444957832,-2.561762040763171,1.6387996938471476,-0.080909860181146,-0.056376477102997,0.0208087771099058,-0.2021870122305887,0.3706683639549054,-0.082610482989337,0.1164146160724422,-0.047349074706147,0.0226753356525306,-0.1757180077239905,-0.4268133130554481,1.0,0.1331666779922015,0.3952598170255533,-0.0151254057913882,0.0803789294857572
Base_IL10x10:11,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.1052302626494871,-0.9778593456228892,0.0048553589927014,-0.0485183357283319,2.340551381839933,2.0658589996300725,0.2362266710716717,0.0095938458740282,0.0549472222992875,-0.0736348796263566,-0.2356010088586637,0.0865662557379721,0.111118836742292,-0.0994653276180412,-0.0994396268548266,-0.0485183357283319,2.340551381839933,2.0658589996300725,0.0095938458740282,0.0549472222992875,-0.0736348796263566,-0.2356010088586637,0.2296329963885317,0.0865662557379721,0.111118836742292,-0.0994653276180412,-0.0994396268548266,-0.4456862266908483,-1.0,0.6258991789498151,0.7496953726719944,0.7092320774617172,-0.207313352196147,-0.4952549016084703
Base_IL10x10:12,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.0114160274142536,-1.942484996984792,0.0283763163111186,2.690875156296784,-0.6279507561441474,1.943944292328203,0.2218450805447141,-0.0122381632123127,0.0929082063721657,0.0281306778178241,-0.2855892524193936,-0.0637240995082759,0.0441485603519106,-0.0573642095170314,-0.0563017062499515,2.690875156296784,-0.6279507561441474,1.943944292328203,-0.0122381632123127,0.0929082063721657,0.0281306778178241,-0.2855892524193936,0.3595951245511343,-0.0637240995082759,0.0441485603519106,-0.0573642095170314,-0.0563017062499515,-0.0466660404933485,-0.6975707965023031,1.0,0.2362877845375769,0.1948120027972037,-0.2054837782779779,-0.2902158516597697
Base_IL10x10:13,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.0558999572767162,-1.2525885240365369,0.0258630475237851,2.889446985528004,0.8786203295812762,2.4951436370514406,0.2849467658278655,0.0683926699672649,-0.0634209308756606,0.0620831402105675,-0.3657822306233391,-0.0353254202515447,0.0460506803373093,0.0524864924500748,0.0776085675473785,2.889446985528004,0.8786203295812762,2.4951436370514406,0.0683926699672649,-0.0634209308756606,0.0620831402105675,-0.3657822306233391,0.2288498677368604,-0.0353254202515447,0.0460506803373093,0.0524864924500748,0.0776085675473785,-0.1700515314453708,-1.0,0.2257352015411479,0.029761233356072,0.188133167596716,0.3001963352435999,0.3710140396852377
Base_IL10x10:14,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.0590324528433829,-1.228909171137356,0.0104538220145886,0.4831834876707215,1.4242985145716966,1.6513910860331515,0.1881078487379386,0.0986821401617903,-0.0129201500581498,-0.0373007711148993,-0.3759871391466824,-0.0523293716339293,0.0058445953175514,0.0099326619087775,0.048177492596789,0.4831834876707215,1.4242985145716966,1.6513910860331515,0.0986821401617903,-0.0129201500581498,-0.0373007711148993,-0.3759871391466824,0.3588256780614305,-0.0523293716339293,0.0058445953175514,0.0099326619087775,0.048177492596789,-0.468315975717682,-1.0,0.69627658856209,0.0595691999928533,0.0576388118144418,0.091327781312152,0.192515136539345
Base_IL10x10:15,Base_IL10x10,10.0,10.0,0.0,0.0,0.0,262144,3,42,0.0148753047025999,-1.827534129511852,0.0078769539775588,0.451199183061582,-2.1405863965796628,1.965484654314399,0.2247153040659351,-0.022106826427414,-0.0980186185894577,0.0086198428299598,-0.2863982118080142,-0.0437205621219186,0.0855181763511624,0.0553030892942301,-0.0857849781816047,0.451199183061582,-2.1405863965796628,1.965484654314399,-0.022106826427414,-0.0980186185894577,0.0086198428299598,-0.2863982118080142,0.3145296943962381,-0.0437205621219186,0.0855181763511624,0.0553030892942301,-0.0857849781816047,-0.5408758736833345,-0.9937434451566832,1.0,0.241281508616709,0.5598991243709942,0.3039158270778213,-0.2595642989967793
