env,spearA,spearB,agreeA,agreeB,cosA,cosB,real_min,seed_lb,n_better
IL_Sweep_14dB,0.7679534695816413,0.7402786255153593,0.8918918918918919,0.8108108108108109,0.6757435288298235,0.6106892408485701,-2.785533204006243,-2.5743128809323794,8
IL_Worst_20dB,0.39812382739212016,0.3050656660412759,0.6470588235294118,0.5294117647058824,0.31975844750756804,0.12099851590761264,-2.1398087116234494,-1.237258556250923,15
CD_Sweep_28ps,0.47929077401571046,0.6972184444088394,0.6578947368421053,0.7894736842105263,0.3786836986863639,0.762132176957477,-3.1011219198411495,-2.9120656836211003,10
DGD_Sweep_5ps,0.4594962245310139,0.7202026369384633,0.7352941176470589,0.9411764705882353,0.36362090837271677,0.7851624935193227,-3.1060853393726995,-3.0285712526925375,6
