env,step,x,taps,gdc,gdc2,gain,gain_ratio,pred_b_ber,allowed_ber,stop_reason,pred_a,pred_b,real_lb,real_ber,grad_norm
Comb_IL20x10_CD15_DGD5,0,"[0.0016047188934731537, 0.0024874988051060416, -0.026659634679418176, -0.29377959387431773, 0.0006860592756419025, 0.055366244128177644, -2.671650558907006e-05, 0.0021550647423735376, 0.0, 0.0, 0.0]","[0.001605, 0.002487, -0.02666, -0.29378, 0.617234, 0.000686, 0.055366, -2.7e-05, 0.002155]",0.0,0.0,0.4381,1.0,0.0036848599722821614,0.005894740294539073,,-3.618582694038711,-2.433579011039837,-3.336149263626788,0.0004611590505506653,9.674089336249597
Comb_IL20x10_CD15_DGD5,1,"[0.003051459632955474, 0.00456868388887306, -0.019732216745326246, -0.2884108457343249, 0.0014013305216912728, 0.05261930650719416, -1.2942640234903178e-06, 0.0038269225461975984, 0.0, 0.0, 0.0]","[0.003051, 0.004569, -0.019732, -0.288411, 0.626388, 0.001401, 0.052619, -1e-06, 0.003827]",0.0,0.0,0.4381,1.0,0.0029345474562435057,0.005894740294539073,,-3.6997426973255463,-2.532458862869427,-3.3327815989472405,0.0004647489326665744,8.949740784073345
Comb_IL20x10_CD15_DGD5,2,"[0.004337841113330677, 0.006261542459353945, -0.013291847755012635, -0.282635879979893, 0.0021738275161601196, 0.04994530151860304, 5.2344134263643334e-05, 0.005022840598489739, 0.0, 0.0, 0.0]","[0.004338, 0.006262, -0.013292, -0.282636, 0.636279, 0.002174, 0.049945, 5.2e-05, 0.005023]",0.0,0.0,0.4381,1.0,0.0023796123421393474,0.005894740294539073,,-3.771221808436503,-2.6234937872218107,-3.3297980008413695,0.00046795274497574857,8.216281717194708
Comb_IL20x10_CD15_DGD5,3,"[0.005472184968150738, 0.007584869510730508, -0.007407291029183076, -0.2765078128203985, 0.0030140786523139332, 0.04732993655990334, 0.00010071868879883185, 0.005750548726599828, 0.0, 0.0, 0.0]","[0.005472, 0.007585, -0.007407, -0.276508, 0.646833, 0.003014, 0.04733, 0.000101, 0.005751]",0.0,0.0,0.4381,1.0,0.001962410147351815,0.005894740294539073,,-3.833670105994527,-2.7072102191190854,-3.2878190107845118,0.000515443407295961,7.4971471489052215
Comb_IL20x10_CD15_DGD5,4,"[0.006473438489441152, 0.008559967117059563, -0.0021378615823718725, -0.27009207261951773, 0.003915026297276532, 0.044759677282647035, 0.00010440030691475326, 0.006023404003786017, 0.0, 0.0, 0.0]","[0.006473, 0.00856, -0.002138, -0.270092, 0.657934, 0.003915, 0.04476, 0.000104, 0.006023]",0.0,0.0,0.4381,1.0,0.0016436843859588984,0.005894740294539073,,-3.8878562793167357,-2.7841815703698103,-3.2360239569269478,0.0005807323817769919,6.8134982290876245
Comb_IL20x10_CD15_DGD5,5,"[0.007370039017958079, 0.009212117870704407, 0.0024730774682689347, -0.2634657938893514, 0.0048525512658927385, 0.04222308157642675, 2.316492108026933e-05, 0.005865224339508223, 0.0, 0.0, 0.0]","[0.00737, 0.009212, 0.002473, -0.263466, 0.664515, 0.004853, 0.042223, 2.3e-05, 0.005865]",0.0,0.0,0.4381,1.0,0.0013965078534284017,0.005894740294539073,,-3.9346083093846356,-2.8549566176493144,-3.148685731318588,0.0007100914258207807,6.182221836590079
Comb_IL20x10_CD15_DGD5,6,"[0.00819712703216677, 0.009571217580571317, 0.006405666621192099, -0.2567143344387273, 0.005787704902528208, 0.039712182879692096, -0.00017745181967807305, 0.005313522346117634, 0.0, 0.0, 0.0]","[0.008197, 0.009571, 0.006406, -0.256714, 0.668121, 0.005788, 0.039712, -0.000177, 0.005314]",0.0,0.0,0.4381,1.0,0.0012022537162318491,0.005894740294539073,,-3.9747548209007726,-2.9200038718241355,-3.1158726322632524,0.0007658211702237303,5.614516647525828
Comb_IL20x10_CD15_DGD5,7,"[0.008992043754175751, 0.009671018883910632, 0.009669748607791469, -0.24992482625486553, 0.006671343852928738, 0.03722352128407086, -0.0005193159880441838, 0.004419656128377681, 0.0, 0.0, 0.0]","[0.008992, 0.009671, 0.00967, -0.249925, 0.672909, 0.006671, 0.037224, -0.000519, 0.00442]",0.0,0.0,0.4381,1.0,0.0010478835057477396,0.005894740294539073,,-4.009075120101246,-2.9796869956185636,-2.998549398471775,0.001003345717916398,5.115325159667322
Comb_IL20x10_CD15_DGD5,8,"[0.009788961477764485, 0.009546836106542592, 0.012306945568829084, -0.24317813041867933, 0.00745085003485168, 0.03475828268692667, -0.0010064949675452411, 0.003245016174173629, 0.0, 0.0, 0.0]","[0.009789, 0.009547, 0.012307, -0.243178, 0.678718, 0.007451, 0.034758, -0.001006, 0.003245]",0.0,0.0,0.4381,1.0,0.0009241100770771583,0.005894740294539073,,-4.038265014396128,-3.034276293909938,-3.002834515516247,0.0009934945395568922,4.683881166106793
Comb_IL20x10_CD15_DGD5,9,"[0.010614279025939944, 0.00923220869026231, 0.01438698315830403, -0.2365418328720588, 0.008077399789515344, 0.03232119075317151, -0.0016234958289938336, 0.0018538607064705476, 0.0, 0.0, 0.0]","[0.010614, 0.009232, 0.014387, -0.236542, 0.685349, 0.008077, 0.032321, -0.001623, 0.001854]",0.0,0.0,0.4381,1.0,0.0008241643170985201,0.005894740294539073,,-4.062922212562874,-3.083986192556737,-2.9112974461413557,0.0012265988519221576,4.315363100204531
