env,il_tx,il_rx,cd,dgd,pol,noise_stress,seed_lb,seed_ber,pa_seed,pb_seed,n_steps_requested,n_steps_actual,freeze_extra,best_lb,best_ber,best_step,final_lb,final_ber,max_lb,delta_lb_seed_to_best,delta_lb_seed_to_final,trace_spearman_preda_real,trace_spearman_predb_real,best_taps,best_gdc,best_gdc2,best_gain,best_gain_ratio,seed_gain,seed_gain_ratio,stop_reason,early_stop,cloud
Base_IL10x10,10.0,10.0,0.0,0.0,0.0,False,-3.4263814953158094,0.0003746437610538,-3.5272624716144545,-2.3264453369328666,15,15,True,-3.554739124201079,0.0002787795262958,1,-3.432531048156388,0.0003693762363296,-3.432531048156388,-0.1283576288852694,-0.0061495528405788,-0.95,-0.95,"[0.003051, 0.004569, -0.019732, -0.288411, 0.626388, 0.001401, 0.052619, -1e-06, 0.003827]",0.0,0.0,0.4381,1.0,0.4381,1.0,marginal_gain,False,"{'n': 8, 'seed_lb': -3.0014479341972695, 'seed_ber': 0.0009966715598807, 'real_lb_min': -2.1580353912866097, 'real_lb_max': -0.7350664812532898, 'spearman_real_va': 0.8095238095238096, 'spearman_real_vb': 0.880952380952381, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
IL14x14,14.0,14.0,0.0,0.0,0.0,False,-3.3002423018907634,0.0005009076888733,-3.5272624716144545,-2.3264453369328666,15,15,True,-3.371169197718738,0.0004254326356299,0,-2.961693636528965,0.0010922105406101,-2.961693636528965,-0.0709268958279745,0.3385486653617988,-1.0,-1.0,"[0.001605, 0.002487, -0.02666, -0.29378, 0.617234, 0.000686, 0.055366, -2.7e-05, 0.002155]",0.0,0.0,0.4381,1.0,0.4381,1.0,marginal_gain,False,"{'n': 8, 'seed_lb': -2.841620368790238, 'seed_ber': 0.0014400568296695628, 'real_lb_min': -2.1154367867628694, 'real_lb_max': -0.812067946558692, 'spearman_real_va': 0.7619047619047621, 'spearman_real_vb': 0.6190476190476191, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
IL20x20,20.0,20.0,0.0,0.0,0.0,False,-1.2222621470866022,0.059942914202658,-3.5272624716144545,-2.3264453369328666,15,15,True,-1.2251544864832584,0.0595450293301505,0,-0.9953657634158048,0.1010727859296212,-0.9953657634158048,-0.0028923393966562,0.2268963836707974,-1.0,-1.0,"[0.001605, 0.002487, -0.02666, -0.29378, 0.617234, 0.000686, 0.055366, -2.7e-05, 0.002155]",0.0,0.0,0.4381,1.0,0.4381,1.0,marginal_gain,False,"{'n': 8, 'seed_lb': -1.2345599972839447, 'seed_ber': 0.05826932708295129, 'real_lb_min': -1.8025396009923287, 'real_lb_max': -0.42722177887721424, 'spearman_real_va': 0.7619047619047621, 'spearman_real_vb': 0.5000000000000001, 'agree_a': 0.875, 'agree_b': 0.875, 'n_better_than_seed': 1}"
IL20x10_TxHeavy,20.0,10.0,0.0,0.0,0.0,False,-3.325710904043751,0.0004723773831547,-3.5272624716144545,-2.3264453369328666,15,15,True,-3.398884421331323,0.0003991311088792,1,-2.981777203796641,0.0010428522829367,-2.9777182823417547,-0.073173517287572,0.3439337002471099,-0.9928571428571428,-0.9928571428571428,"[0.003051, 0.004569, -0.019732, -0.288411, 0.626388, 0.001401, 0.052619, -1e-06, 0.003827]",0.0,0.0,0.4381,1.0,0.4381,1.0,marginal_gain,False,"{'n': 8, 'seed_lb': -2.8347532825180233, 'seed_ber': 0.0014630080557423131, 'real_lb_min': -1.8039457663988958, 'real_lb_max': -0.4270231297743421, 'spearman_real_va': 0.7380952380952381, 'spearman_real_vb': 0.5952380952380953, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
IL10x20_RxHeavy,10.0,20.0,0.0,0.0,0.0,False,-2.951485132938411,0.0011181881024982,-3.5272624716144545,-2.3264453369328666,15,15,True,-3.0546234304086384,0.0008818131472696,1,-2.6738662134007725,0.0021190138075738,-2.6738662134007725,-0.1031382974702275,0.2776189195376384,-0.9964285714285712,-0.9964285714285712,"[0.003051, 0.004569, -0.019732, -0.288411, 0.626388, 0.001401, 0.052619, -1e-06, 0.003827]",0.0,0.0,0.4381,1.0,0.4381,1.0,marginal_gain,False,"{'n': 8, 'seed_lb': -2.667332177811313, 'seed_ber': 0.0021511357711132355, 'real_lb_min': -1.83143221184234, 'real_lb_max': -0.42719038172142043, 'spearman_real_va': 0.7857142857142858, 'spearman_real_vb': 0.7142857142857144, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
IL16x10,16.0,10.0,0.0,0.0,0.0,False,-3.4618654893401435,0.0003452506545841,-3.5272624716144545,-2.3264453369328666,15,15,True,-3.5106619560743426,0.0003085588760618,1,-3.131682774109761,0.0007384434215035,-3.1315263202848205,-0.0487964667341991,0.3301827152303827,-0.9892857142857142,-0.9892857142857142,"[0.003051, 0.004569, -0.019732, -0.288411, 0.626388, 0.001401, 0.052619, -1e-06, 0.003827]",0.0,0.0,0.4381,1.0,0.4381,1.0,marginal_gain,False,"{'n': 8, 'seed_lb': -2.915855434975856, 'seed_ber': 0.0012137928224108833, 'real_lb_min': -1.9826703208866907, 'real_lb_max': -0.8412547924206002, 'spearman_real_va': 0.8333333333333335, 'spearman_real_vb': 0.6666666666666669, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
IL10x16,10.0,16.0,0.0,0.0,0.0,False,-3.191845693345668,0.0006429161075351,-3.5272624716144545,-2.3264453369328666,15,15,True,-3.294558319766667,0.0005075065833094,0,-3.0231753518816125,0.0009480356046663,-3.011998122716048,-0.1027126264209994,0.1686703414640549,-0.9964285714285712,-0.9964285714285712,"[0.001605, 0.002487, -0.02666, -0.29378, 0.617234, 0.000686, 0.055366, -2.7e-05, 0.002155]",0.0,0.0,0.4381,1.0,0.4381,1.0,marginal_gain,False,"{'n': 8, 'seed_lb': -2.818815478352109, 'seed_ber': 0.0015176950639070646, 'real_lb_min': -1.9408149171411049, 'real_lb_max': -0.42676202497992544, 'spearman_real_va': 0.8571428571428572, 'spearman_real_vb': 0.7380952380952381, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
CD15ps,10.0,10.0,15.0,0.0,0.0,False,-3.430670379901973,0.0003709621672075,-3.5272624716144545,-2.3264453369328666,15,15,True,-3.5011608767940348,0.0003153836123538,1,-3.33712004108666,0.0004601293740275,-3.33712004108666,-0.0704904968920612,0.0935503388153136,-0.982142857142857,-0.982142857142857,"[0.003051, 0.004569, -0.019732, -0.288411, 0.626388, 0.001401, 0.052619, -1e-06, 0.003827]",0.0,0.0,0.4381,1.0,0.4381,1.0,marginal_gain,False,"{'n': 8, 'seed_lb': -2.9880657336615277, 'seed_ber': 0.0010278607120795574, 'real_lb_min': -2.060029779409827, 'real_lb_max': -0.7288527022642416, 'spearman_real_va': 0.8095238095238096, 'spearman_real_vb': 0.880952380952381, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
CD28ps,10.0,10.0,28.0,0.0,0.0,False,-3.4134678161523166,0.0003859510118391,-3.5272624716144545,-2.3264453369328666,15,15,True,-3.4004262082515155,0.0003977166674807,1,-3.204958003555472,0.0006237951537988,-3.18261293039064,0.0130416079008011,0.2085098125968447,-0.9714285714285712,-0.9714285714285712,"[0.003051, 0.004569, -0.019732, -0.288411, 0.626388, 0.001401, 0.052619, -1e-06, 0.003827]",0.0,0.0,0.4381,1.0,0.4381,1.0,marginal_gain,False,"{'n': 8, 'seed_lb': -2.968727638763724, 'seed_ber': 0.0010746631598513962, 'real_lb_min': -1.846000055963976, 'real_lb_max': -0.7195368760781746, 'spearman_real_va': 0.8571428571428572, 'spearman_real_vb': 0.7380952380952381, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
DGD2ps,10.0,10.0,0.0,2.0,45.0,False,-3.5379678598641884,0.0002897558014699,-3.5272624716144545,-2.3264453369328666,15,15,True,-3.602344567200121,0.0002498362386187,1,-3.404129326224908,0.0003943398562381,-3.404129326224908,-0.0643767073359331,0.1338385336392802,-0.9535714285714284,-0.9535714285714284,"[0.003051, 0.004569, -0.019732, -0.288411, 0.626388, 0.001401, 0.052619, -1e-06, 0.003827]",0.0,0.0,0.4381,1.0,0.4381,1.0,marginal_gain,False,"{'n': 8, 'seed_lb': -3.046387732559084, 'seed_ber': 0.0008986948799674281, 'real_lb_min': -2.141699121673081, 'real_lb_max': -0.7354473238722464, 'spearman_real_va': 0.880952380952381, 'spearman_real_vb': 0.7857142857142858, 'agree_a': 1.0, 'agree_b': 1.0, 'n_better_than_seed': 0}"
