env,step,x_shape,taps,gdc,gdc2,gain,gain_ratio,drive_rms,pred_b_ber,allowed_ber,stop_reason,pred_a,pred_b,real_lb,real_ber,grad_norm
Comb_IL20x20_CD15_DGD5,0,"[-0.0323467625195012, -0.3, -0.009205498744195715, 0.05830074049010282, 6.017194722963993, 1.7004931695233119]","[-0.032347, -0.3, 0.600147, -0.009205, 0.058301]",6.017194722963993,1.7004931695233119,0.32508101172491605,0.742024678669062,0.19499999999999998,0.0,0.0,,-4.134976209588363,0.0,-3.8807884019843826,0.00013158657953726236,11.283794278517606
Comb_IL20x20_CD15_DGD5,1,"[-0.024887383233165312, -0.2966954825531008, -0.014353970404076762, 0.059311217938205235, 6.006958085701095, 1.4096732746441136]","[-0.024887, -0.296695, 0.604752, -0.014354, 0.059311]",6.006958085701095,1.4096732746441136,0.3355606421958124,0.7659453143022424,0.195,0.0,0.0,,-4.245806119799238,0.0,-4.202259522048301,6.276831610900401e-05,7.4662925520728995
Comb_IL20x20_CD15_DGD5,2,"[-0.01788681180519546, -0.2940804208549318, -0.019932539133628545, 0.060561139506276083, 5.999020283544927, 1.1275149074158326]","[-0.017887, -0.29408, 0.607539, -0.019933, 0.060561]",5.999020283544927,1.1275149074158326,0.34685410910925824,0.7917235998841777,0.19499999999999998,0.0,0.0,,-4.354177225765944,0.0,-4.238986507090302,5.767843829814346e-05,6.9774786094959325
Comb_IL20x20_CD15_DGD5,3,"[-0.01123999397743396, -0.29196924387734813, -0.025652387294468795, 0.06195515602113698, 5.993759383945152, 0.853763554215504]","[-0.01124, -0.291969, 0.609183, -0.025652, 0.061955]",5.993759383945152,0.853763554215504,0.35861440757350505,0.8185674676409611,0.19500000000000006,0.0,0.0,,-4.461846254252725,0.0,-4.282479880018687,5.218192785064064e-05,6.593174241038313
Comb_IL20x20_CD15_DGD5,4,"[-0.00484163066574728, -0.2902095627513422, -0.031323884081876856, 0.06342924197542528, 5.9912488410545715, 0.588187577282749]","[-0.004842, -0.29021, 0.610196, -0.031324, 0.063429]",5.9912488410545715,0.588187577282749,0.37054504582996967,0.8458001502624279,0.19499999999999992,0.0,0.0,,-4.56958969206671,0.0,-4.313312328563292,4.860575253341708e-05,6.253975843951961
Comb_IL20x20_CD15_DGD5,5,"[0.0014945093332054986, -0.2887244442561089, -0.03672477862102669, 0.06491937748445153, 5.991395547491712, 0.33056741134505524]","[0.001495, -0.288724, 0.608137, -0.036725, 0.064919]",5.991395547491712,0.33056741134505524,0.38422679526690945,0.8770298910452168,0.1950000000000001,0.0,0.0,,-4.6776242155337,0.0,-4.318153257030776,4.806696962599501e-05,6.036086239169649
Comb_IL20x20_CD15_DGD5,6,"[0.007684358851877437, -0.2871645023389522, -0.0418703242217158, 0.06638905116322072, 5.994467888033734, 0.08069469732212867]","[0.007684, -0.287165, 0.596892, -0.04187, 0.066389]",5.994467888033734,0.08069469732212867,0.4042625468809217,0.9227631748023778,0.19499999999999998,0.0,0.0,,-4.787413304271565,0.0,-4.319031264425434,4.796989143485405e-05,5.593901791578232
Comb_IL20x20_CD15_DGD5,7,"[0.01360536604888848, -0.2844617502596657, -0.04649696810153351, 0.06761974167113156, 6.001390551743174, 0.0]","[0.013605, -0.284462, 0.587816, -0.046497, 0.06762]",6.001390551743174,0.0,0.41612511040499656,0.949840471136719,0.19499999999999998,0.0,0.0,,-4.854350067884887,0.0,-4.312969250519143,4.864416461441731e-05,4.866388217357332
Comb_IL20x20_CD15_DGD5,8,"[0.01915125145602877, -0.2815075444076824, -0.05103006746089756, 0.0687996562355716, 6.008152187478835, 0.0]","[0.019151, -0.281508, 0.579511, -0.05103, 0.0688]",6.008152187478835,0.0,0.4242375281695469,0.9683577451941268,0.19499999999999998,0.0,0.0,,-4.897647354249216,0.0,-4.303932828876028,4.9666913394854226e-05,4.417280536155802
Comb_IL20x20_CD15_DGD5,9,"[0.024438675826297992, -0.2787822687202077, -0.05561175104779542, 0.0699910074515434, 6.012912652288628, 0.0]","[0.024439, -0.278782, 0.571176, -0.055612, 0.069991]",6.012912652288628,0.0,0.432711519499042,0.9877003412441041,0.195,0.0,0.0,,-4.938890596161165,0.0,-4.316064221770659,4.8298737447337954e-05,4.148491891532133
