sample_id,env,il_tx_db,il_rx_db,cd_ps_nm,dgd_ps,pol_deg,num_symbols,n_sim_seeds,sim_seed0,mlse_ber,log10_ber_mlse,ber_std_log10,ctle_dc,ctle_dc2,driver_gain,gain_u,gain_ratio,drive_rms,x_0,x_1,x_2,x_3,x_4,x_5,x_6,ffe_tap_0,ffe_tap_1,ffe_tap_2,ffe_tap_3,ffe_tap_4,tx_fir_0,tx_fir_1,tx_fir_2,tx_fir_3,tx_fir_4,tx_fir_5,tx_fir_6
IL20x20:0,IL20x20,20.0,20.0,0.0,0.0,0.0,262144,3,42,0.004541039122985068,-2.342844756451084,0.14499329828878968,0.24091157568198085,1.7395287593154656,0.6107060022094564,0.144258935220566,1.3939876790902908,0.10451168602170452,0.07177354054625273,-0.3362572677110859,-0.1041715600800827,0.07218665468409072,0.24091157568198085,1.7395287593154656,0.144258935220566,0.07177354054625273,-0.3362572677110859,0.41561097697848803,-0.1041715600800827,0.07218665468409072,-0.04768308211029426,-0.08633574977237521,0.15038045349897142,0.052425764342050214,0.07602154365717895,0.039820087517434016,0.029921736925387656
IL20x20:1,IL20x20,20.0,20.0,0.0,0.0,0.0,262144,3,42,0.035163082099143754,-1.4539130653392613,0.022220220174068547,-0.3551869716995022,0.48624475541728307,0.630262830821175,0.15794844257945292,1.4386277809202808,0.07821914581292379,0.10517605463709355,-0.29047517501782283,-0.17169257691864404,-0.0665862946723865,-0.3551869716995022,0.48624475541728307,0.15794844257945292,0.10517605463709355,-0.29047517501782283,0.36606989875405305,-0.17169257691864404,-0.0665862946723865,-0.010273157628356165,-0.05181432411301269,0.11509484484143229,-0.05390343982981036,-0.0596211518481428,-0.03910521641889098,-0.017741866526349244
IL20x20:2,IL20x20,20.0,20.0,0.0,0.0,0.0,262144,3,42,0.15468037593984665,-0.8105647810752941,0.00301386508179835,-0.008572293637106876,0.3105671727502286,0.4341067205038606,-0.00397674387679451,0.99088500457398,0.07056122614386214,0.03403923214510089,-0.2973297483452237,-0.13674930447679542,-0.06899891707750531,-0.008572293637106876,0.3105671727502286,-0.00397674387679451,0.03403923214510089,-0.2973297483452237,0.4628827979553747,-0.13674930447679542,-0.06899891707750531,-0.04330000386338128,-0.038278382326844246,0.1250063839493384,0.0007885833481827782,-0.022831309141001708,-0.017381072634383335,-0.006517571312048879
IL20x20:3,IL20x20,20.0,20.0,0.0,0.0,0.0,262144,3,42,0.005607508144247655,-2.251230086982757,0.08971926088595249,-1.1974356063311458,-0.9048135660003711,0.5421420025963313,0.09253980248677912,1.2374845984851206,0.13358692292970117,0.026411497958217626,-0.23661125563782273,-0.09841479830331779,-0.03895460465878348,-1.1974356063311458,-0.9048135660003711,0.09253980248677912,0.026411497958217626,-0.23661125563782273,0.5996078434418584,-0.09841479830331779,-0.03895460465878348,-0.03546734432614207,0.03262635691846447,0.2482689531047122,0.06928032935916137,0.028566631886344444,0.010243613493048179,0.011058039067603031
IL20x20:4,IL20x20,20.0,20.0,0.0,0.0,0.0,262144,3,42,0.004495992787757395,-2.3471743941115215,0.07084573402003286,0.394911721748759,-1.0339439982986365,0.5170970541101452,0.0719988104354095,1.1803174026709546,0.09311783354651415,0.11789042799285832,-0.29859257071428663,-0.10424013477383545,-0.01876427398384956,0.394911721748759,-1.0339439982986365,0.0719988104354095,0.11789042799285832,-0.29859257071428663,0.46051259253516996,-0.10424013477383545,-0.01876427398384956,-0.00018718357064821358,-0.018448396646842214,0.17786608218221084,0.04380185748226474,0.018367405919528217,0.004898497802279363,0.007582667934760184
IL20x20:5,IL20x20,20.0,20.0,0.0,0.0,0.0,262144,3,42,0.009297120749001608,-2.031651528481245,0.022898226480830935,-1.5992543730937454,-0.5771164566903251,0.676674048625968,0.18880626783808896,1.5445652787627666,0.08258675760227943,0.06563492517846979,-0.2544891124815459,-0.1964483333858194,0.04475300262754147,-1.5992543730937454,-0.5771164566903251,0.18880626783808896,0.06563492517846979,-0.2544891124815459,0.43867462632662346,-0.1964483333858194,0.04475300262754147,-0.026914174114470994,-0.01284118063110228,0.1626276618793198,-0.013479972524609656,0.02831209999438505,0.006747317865338737,0.010217325627858568
IL20x20:6,IL20x20,20.0,20.0,0.0,0.0,0.0,262144,3,42,0.018328197723471183,-1.7368802386511941,0.04252568513220477,-0.4293375537223798,1.4247957484575644,0.6044166633542863,0.13976317585588519,1.379631735572441,0.16714743546530944,0.059963452629904615,-0.27181645667417553,-0.06873459858702277,-0.01936823000996163,-0.4293375537223798,1.4247957484575644,0.13976317585588519,0.059963452629904615,-0.27181645667417553,0.5801172620989354,-0.06873459858702277,-0.01936823000996163,-0.029713564948798198,0.01626921625014457,0.29159834660871875,0.12155858064388468,0.06954860575456165,0.03790408560667166,0.032439974146512944
IL20x20:7,IL20x20,20.0,20.0,0.0,0.0,0.0,262144,3,42,0.0076515727374308,-2.1162492889004643,0.09077107819208277,-0.9944029219951589,1.9627688569444102,0.5287037248230574,0.08163911692884915,1.2068106021982592,0.11892933576284441,0.06714307196681177,-0.28597023932694604,-0.06561594018226467,-0.045835372983393914,-0.9944029219951589,1.9627688569444102,0.08163911692884915,0.06714307196681177,-0.28597023932694604,0.5354353755405836,-0.06561594018226467,-0.045835372983393914,-0.026174226419607993,-0.002602703996423672,0.21592916770545156,0.0764527414905769,0.034157932901534946,0.018372384205991108,0.01875526223359325
IL20x20:8,IL20x20,20.0,20.0,0.0,0.0,0.0,262144,3,42,0.026837651172116183,-1.5712554962387515,0.020354746183425775,0.2641864999788899,1.7169433272323076,0.6652583443865642,0.18141707746849348,1.5185079762304592,0.16286261360192542,-0.012829031369164627,-0.33061010755306397,-0.0812611604995665,0.06820353773785068,0.2641864999788899,1.7169433272323076,0.18141707746849348,-0.012829031369164627,-0.33061010755306397,0.5070961628403542,-0.0812611604995665,0.06820353773785068,-0.11781728752147738,-0.09769330828399599,0.2250855945499931,0.10620094430538972,0.10838013357377255,0.05766824873165633,0.04129175389653484
IL20x20:9,IL20x20,20.0,20.0,0.0,0.0,0.0,262144,3,42,0.003485988285355651,-2.4576740766677774,0.06365969433940827,-1.3549769841969725,-0.027983572333437845,0.6142121191781598,0.14674512819014787,1.4019906851818302,0.13288530142329238,0.02206673968181168,-0.2905688722437556,-0.09621811366587854,0.047745919912564265,-1.3549769841969725,-0.027983572333437845,0.14674512819014787,0.02206673968181168,-0.2905688722437556,0.5434003544959899,-0.09621811366587854,0.047745919912564265,-0.06052410430764906,-0.01616216497334458,0.22799341596880351,0.07825443635624288,0.07508892809792277,0.03402748987781186,0.025602356551473023
IL20x20:10,IL20x20,20.0,20.0,0.0,0.0,0.0,262144,3,42,0.07058180530743041,-1.1513072376588458,0.009833366020528254,-1.007935891253734,1.200845969898785,0.6505360989131713,0.1716981478328856,1.4849032159625002,0.1005251192212913,-0.022332155608689765,-0.29494528021819516,-0.19051841104743295,-0.04643377206341746,-1.007935891253734,1.200845969898785,0.1716981478328856,-0.022332155608689765,-0.29494528021819516,0.44577038106226463,-0.19051841104743295,-0.04643377206341746,-0.10186895850196538,-0.07736360159882893,0.13264884300115337,-0.0509488619795715,-0.04535442187289014,-0.03402928323453163,-0.01669255105511016
IL20x20:11,IL20x20,20.0,20.0,0.0,0.0,0.0,262144,3,42,0.03603167275836714,-1.4433155754332159,0.026765366426265536,-0.703580006315287,-0.30280025316827186,0.6962418288113177,0.20118685809448353,1.5892303784782418,0.19211283472147067,0.07105456228222756,-0.2632327403319267,-0.053323137649686395,0.06834714494680726,-0.703580006315287,-0.30280025316827186,0.20118685809448353,0.07105456228222756,-0.2632327403319267,0.5440424147893521,-0.053323137649686395,0.06834714494680726,-0.023628124558793942,0.0196126687241454,0.30990610829908355,0.15301352190845138,0.1318051998381665,0.0659347291334263,0.04526508477651515
IL20x20:12,IL20x20,20.0,20.0,0.0,0.0,0.0,262144,3,42,0.01362898424192435,-1.8655365106044786,0.057267030073317446,-1.9149482379909293,1.5194897842944872,0.478878516186621,0.03865210065104918,1.0930803839000707,0.07641113474812404,0.09004145928733326,-0.3057814497014186,-0.10137284384022079,0.05520149409137807,-1.9149482379909293,1.5194897842944872,0.03865210065104918,0.09004145928733326,-0.3057814497014186,0.44760275307964936,-0.10137284384022079,0.05520149409137807,-0.018502114617467084,-0.023874656908555898,0.13153417853163227,0.0375963549653631,0.050379991698824206,0.023973311618318758,0.01985966769064205
