env,step,x_shape,taps,gdc,gdc2,gain,gain_ratio,drive_rms,pred_b_ber,allowed_ber,stop_reason,pred_a,pred_b,real_lb,real_ber,grad_norm
Base_IL10x10,0,"[-0.031797120257450975, -0.29147402350189083, -0.004266477920891115, 0.05322709836823713, 5.878244565211531, 1.7258182827038406]","[-0.031797, -0.291474, 0.619235, -0.004266, 0.053227]",5.878244565211531,1.7258182827038406,0.14251770104759803,0.32530860773247666,0.165,1.282800571712508e-05,1.603500714640635e-05,,-4.737969396000768,-4.891840855189238,-4.685009906341377,2.0653330446258407e-05,7.649329269768677
Base_IL10x10,1,"[-0.024759806583187577, -0.285368316668434, -0.0016033438277948974, 0.05278632958974658, 5.650751856605482, 1.5443573570722235]","[-0.02476, -0.285368, 0.635482, -0.001603, 0.052786]",5.650751856605482,1.5443573570722235,0.14522508309427185,0.3314884343626383,0.16500000000000004,9.956710930655379e-06,1.2445888663319224e-05,,-4.831641801866178,-5.001884101392737,-4.685009906341377,2.0653330446258407e-05,8.849279516030583
Base_IL10x10,2,"[-0.017753089973867126, -0.27941943858079815, 0.00039043149114245364, 0.05252003495458541, 5.438564364567416, 1.3582046747853553]","[-0.017753, -0.279419, 0.649917, 0.00039, 0.05252]",5.438564364567416,1.3582046747853553,0.14811941244341717,0.33809498389275777,0.16500000000000004,8.084914312559282e-06,1.0106142890699103e-05,,-4.912001868381732,-5.092324578575128,-4.7114036550239184,1.943552806631466e-05,7.960943144830138
Base_IL10x10,3,"[-0.010821480923160301, -0.2736639573715218, 0.0018454494587108261, 0.05243427234746632, 5.25288407955019, 1.1569826277837114]","[-0.010821, -0.273664, 0.661235, 0.001845, 0.052434]",5.25288407955019,1.1569826277837114,0.15154127391491767,0.3459056697441627,0.165,6.844083040974301e-06,8.555103801217876e-06,,-4.979080161357753,-5.164684729695209,-4.685009906341377,2.0653330446258407e-05,7.157987558066891
Base_IL10x10,4,"[-0.004000716372699725, -0.26811379910111643, 0.00286551067791461, 0.05251627950250254, 5.111582221267923, 0.9321033552942912]","[-0.004001, -0.268114, 0.672504, 0.002866, 0.052516]",5.111582221267923,0.9321033552942912,0.15484715399698507,0.3534516183450926,0.16500000000000004,6.01738766182032e-06,7.521734577275401e-06,,-5.0385268015808675,-5.220592008789858,-4.685009906341377,2.0653330446258407e-05,6.450099546971842
Base_IL10x10,5,"[0.0023596830891737808, -0.26239857134224787, 0.0036089936216232533, 0.05278299311588652, 5.030252512540294, 0.6876577582817401]","[0.00236, -0.262399, 0.67885, 0.003609, 0.052783]",5.030252512540294,0.6876577582817401,0.15887196883827376,0.36263859584175706,0.16500000000000004,5.4634489293844174e-06,6.829311161730522e-06,,-5.087339820226919,-5.262533112217617,-4.7114036550239184,1.943552806631466e-05,5.358813307051856
Base_IL10x10,6,"[0.008134431919644502, -0.2564333190717294, 0.004132094440189001, 0.05320565483311528, 5.001996489952962, 0.43936879421540553]","[0.008134, -0.256433, 0.678094, 0.004132, 0.053206]",5.001996489952962,0.43936879421540553,0.16398902991316633,0.3743187169896515,0.165,5.098288726920551e-06,6.372860908650689e-06,,-5.126780524151999,-5.292575573151239,-4.692753186580869,2.028835397163895e-05,4.433347453997412
Base_IL10x10,7,"[0.013226826464232396, -0.25018972064624956, 0.004482662072245858, 0.05370136299828108, 5.0045051358628685, 0.19698692264256415]","[0.013227, -0.25019, 0.678399, 0.004483, 0.053701]",5.0045051358628685,0.19698692264256415,0.16850878615430764,0.384635439749618,0.16500000000000006,4.868578836416216e-06,6.08572354552027e-06,,-5.164147792375476,-5.31259779311309,-4.692753186580869,2.028835397163895e-05,3.7603749186866415
Base_IL10x10,8,"[0.01804745252682275, -0.2440379987861797, 0.00469484386085199, 0.054247464413648, 5.023154795758715, 0.0]","[0.018047, -0.244038, 0.678972, 0.004695, 0.054247]",5.023154795758715,0.0,0.1719986759496788,0.39260140595681076,0.16500000000000004,4.752759712384574e-06,5.940949640480717e-06,,-5.197490665762205,-5.323054141990405,-4.666359437898326,2.1559593202572226e-05,3.324761866304326
Base_IL10x10,9,"[0.022816125269626234, -0.23814962816566465, 0.004822183902161553, 0.0548522474124845, 5.048447745838829, 0.0]","[0.022816, -0.23815, 0.67936, 0.004822, 0.054852]",5.048447745838829,0.0,0.17182304997556055,0.3922005249385085,0.165,4.752475933225274e-06,5.940594916531593e-06,,-5.218670681729636,-5.323080073745828,-4.685009906341377,2.0653330446258407e-05,2.968373029180898
