env,step,x,taps,gdc,gdc2,gain,pred_a,pred_b,real_lb,real_ber,grad_norm
IL14x14,0,"[0.003248869505319975, 0.006250729018452538, -0.021959136016510013, -0.3, -0.005624664334161286, 0.04879653970797569, -0.007320606039406377, -0.0023464948007526107, -0.0005635291438267079, -0.0019260764845553287, 1.9938355618430879]","[0.003249, 0.006251, -0.021959, -0.3, 0.604453, -0.005625, 0.048797, -0.007321, -0.002346]",-0.0005635291438267079,-0.0019260764845553287,1.9938355618430879,-2.289549312889694,-3.101000541452461,-3.0040345664597825,0.0009907530855219058,2.7491000368982403
IL14x14,1,"[0.006903171014531953, 0.012725212452695566, -0.0113631421288323, -0.3, -0.010964660514739672, 0.04103231445993809, -0.014450251523292825, -0.0037660088309821134, -0.0007027076376270939, -0.0034840860921561256, 1.988064416333054]","[0.006903, 0.012725, -0.011363, -0.3, 0.598795, -0.010965, 0.041032, -0.01445, -0.003766]",-0.0007027076376270939,-0.0034840860921561256,1.988064416333054,-2.335524925925696,-3.072072500726542,-3.2005599963213016,0.0006301442876646371,2.6413547714822028
IL14x14,2,"[0.01066981136785922, 0.019041277842776493, -0.0023438717262212524, -0.3, -0.016761068902827705, 0.03484438194006583, -0.021478897576492222, -0.0047322526060465985, -0.0005090761038944703, -0.004699595008468421, 1.9828734374138621]","[0.01067, 0.019041, -0.002344, -0.3, 0.590128, -0.016761, 0.034844, -0.021479, -0.004732]",-0.0005090761038944703,-0.004699595008468421,1.9828734374138621,-2.3762320399441097,-3.0291736792290997,-3.3724045323772938,0.0004242242276175852,2.643931642775067
IL14x14,3,"[0.014134417993216554, 0.024648134327841246, 0.007481922221420334, -0.3, -0.021701196347257205, 0.03028536469662801, -0.02733636596780711, -0.00536649181194809, -9.947364063396595e-05, -0.005548977740076311, 1.9785642516937156]","[0.014134, 0.024648, 0.007482, -0.3, 0.569046, -0.021701, 0.030285, -0.027336, -0.005366]",-9.947364063396595e-05,-0.005548977740076311,1.9785642516937156,-2.4173935641986386,-2.9293296242483264,-3.4535529669160034,0.00035192249914681563,2.877977206404325
