env,seed_ber_deep,best_ber_deep,delta_deep
Base_IL10,0.00035495589821689193,0.00016458848911732977,-0.3337749386038191
IL_Sweep_14dB,0.001818405355669776,0.0003073640459420014,-0.7720376374997295
IL_Worst_20dB,0.05755441335110096,0.002732565518116632,-1.323508047808394
CD_Sweep_15ps,0.000450139602766673,0.00016657148296211687,-0.4317465711312414
CD_Sweep_28ps,0.00039461577511263403,0.0001705374706516911,-0.3643546251661389
DGD_Sweep_2ps,0.00027167015673583347,0.00016657148296211687,-0.2124412810945251
DGD_Sweep_5ps,0.00029943207056285295,0.0001705374706516911,-0.2444784960496018
Combined_Stress,0.07761239609112253,0.005784393045243988,-1.1276732961340779
