sample_id,ctle_dc,ctle_dc2,mlse_ber,log10_ber,ffe_tap_0,ffe_tap_1,ffe_tap_2,ffe_tap_3,ffe_tap_4,ffe_tap_5,ffe_tap_6,ffe_tap_7,ffe_tap_8,tx_fir_0,tx_fir_1,tx_fir_2,tx_fir_3,tx_fir_4,tx_fir_5,tx_fir_6
0,2.3943594318366213,-2.472251929689478,0.002538893690579084,-2.595355483671957,0.28836781318543325,-0.05713166353192564,-0.052757579375973425,0.20379078959128216,1.0,-0.06752825320436631,0.11220731329450895,-0.17902834191059708,0.12156418070841692,0.00855768766841314,0.08465874650907222,0.2093735497646153,0.11378370236842532,0.05889214066349892,0.0036302277015217523,0.0191635688232893
1,-1.9891381558599628,-3.0781583219956103,0.0013504753673292999,-2.869513332935637,-0.18041123940726975,-0.24627802949665456,0.12790684046397582,-0.12894682848398123,1.0,0.09376697574035175,0.05903182838346459,0.1759336245638953,-0.006019145176831253,-0.005592293045059912,0.023066691538753438,0.1281483261645761,0.06773060630196137,0.04216364164678658,0.03600039285970182,0.016156496937575322
2,-3.7807714474603378,-4.808415244766213,0.0005221838087006626,-3.282176598428381,-0.0365274263220256,0.013993642209561074,0.05700879059268149,-0.15146793633639666,1.0,0.24336648495087787,-0.2676583916123556,0.07575998369888186,-0.21721314112973616,0.0014141836962015756,0.021666458902843855,0.11300822834769801,0.05144028711253105,-0.006133190993398035,-0.004246455891829603,-0.02274777596293243
3,4.838865453254746,4.096650930026588,0.0007202535292422932,-3.1425146049993744,0.06217657135322765,0.09930974708026975,0.09020225239255852,-0.01631113791181048,1.0,-0.2938408667433827,-0.0051568414077252985,-0.29163897645160064,-0.13784271147786778,0.05339720831511589,0.11509231536464021,0.28021879816078105,0.1293585332941795,0.05219356287944449,-0.036970951856519066,-0.04484074518240728
4,-3.5234124775198747,-4.315698762418046,0.07058484586574475,-1.1512885293068795,-0.2752311455756617,-0.26964980345881734,-0.28581007953060067,-0.13809370999241458,1.0,0.10055032205958145,0.034558570692750964,0.10848375648629094,-0.2559864984311791,-0.0423672931704053,0.004392343879601338,0.08781970013498386,0.0407098207042983,0.021113923396129247,0.008395978133517328,-0.017079370055343115
5,-0.5656989849906378,-4.28057265036768,0.0008553010659752233,-3.06788098670247,-0.20495997246074252,-0.0918022086809253,0.09936392268674933,-0.1657994552569776,1.0,-0.1658115496135879,0.1665657812906934,0.07936232526733852,0.06072937764121413,-0.0034384568635221955,0.020603349825299263,0.1292771916943565,0.0473016997161196,0.04227827075587014,0.028899513459494576,0.021208737296528463
6,-2.31015408917284,-4.722183586946162,0.012865528666090463,-1.8905723632003477,-0.16520052088853715,-0.16664132886184294,0.07963042916805559,-0.06532949965722479,1.0,0.16930958450399985,-0.2962660738201974,-0.23236776214822363,-0.17859118502941876,-0.0026714145834312013,0.026767471349566883,0.1113361053477294,0.05021788362976811,-0.017000549064183905,-0.03710055478326352,-0.03122831777646664
7,1.107214839238294,-3.218919491045532,0.018420484010371652,-1.7346989626151765,0.29153562459815413,-0.030722558593117386,-0.26185602092198046,0.12772981815424034,1.0,0.2582825091774933,-0.07838441516760658,0.14631192187266995,0.06790142504558191,-0.02528298706433144,0.059518838329999754,0.17179410605664458,0.11010002049085617,0.04596449216022414,0.040421791882685715,0.027259142632266076
8,-4.355806358895168,2.4124947761244826,0.025857101699798327,-1.5874201564210553,0.24820070593790178,0.215578083941568,-0.0584442061153998,-0.1713500918759723,1.0,-0.03390681362194015,0.23007298564176726,-0.04221670780517892,0.19666143683092463,0.004790018224688689,0.022961059271703194,0.10437469258468904,0.05033331014853221,0.048873777868422764,0.02994029721388953,0.04035111637356213
9,-1.0005900295106027,4.000190511677253,0.0005942091616248919,-3.2260606564494494,-0.06244569363081393,0.0657911038874767,0.21226615311732772,-0.11291430636782891,1.0,-0.15099045362674435,-0.06528908477793567,-0.11740854378316604,0.17217370502420512,0.03292305429803262,0.04832760515339599,0.15855619912160981,0.07215249405410927,0.032415927115540415,0.01634262586831206,0.04285965823158555
10,3.659518045189232,3.625486988017281,0.005311869778161913,-2.274752580349174,-0.15057257420721226,0.28749008785985675,-0.2973797609884378,-0.20309075291320433,1.0,0.23556637472881026,-0.1580150670567477,-0.08833480845064315,0.13101832753144643,-0.05122857924388222,0.04252348261876951,0.17955547937907423,0.1200437255311037,0.041157609607634774,0.03096675805208188,0.04540530078320504
11,-0.3021604651988756,4.856863455796487,0.0008823105733218093,-3.054378516298823,-0.048136732886950064,-0.07116070900943858,0.22670821301275476,0.07602623412931746,1.0,-0.09005303183488175,-0.053956984285227716,0.03247244414104944,-0.02601583888678527,0.03944468596459729,0.0942069508191965,0.23074990395150205,0.12954037609252828,0.07739140078080876,0.06128775033666541,0.04827037367511228
