sample_id,ctle_dc,mlse_ber,log10_ber,ffe_tap_0,ffe_tap_1,ffe_tap_2,ffe_tap_3,ffe_tap_4,ffe_tap_5,ffe_tap_6,ffe_tap_7,ffe_tap_8,tx_fir_0,tx_fir_1,tx_fir_2,tx_fir_3,tx_fir_4,tx_fir_5,tx_fir_6
0,-12.660498181228087,0.27297608758282915,-0.563875395031302,-0.003095824194223851,0.018244486240991797,0.0005656083203544604,-0.14278947211623746,0.44264157311411956,-0.1983767093915506,0.03209751059345296,-0.09904455880796142,-0.06314425722110782,-0.0037767616706200135,-0.007474710685548402,0.05543319632214047,-0.01965073700197471,-0.0030779227914601013,-0.0161336632756671,-0.009303795085499606
1,-9.770210760976667,0.2840499855949294,-0.5466052284111649,-0.06580154375158227,-0.017483192096930323,-0.07570705995539441,-0.19857546048032268,0.35004264809319874,-0.07329104645308329,0.05022634320469066,0.0750910451128609,0.09378166085193668,-0.022211272648102336,-0.01901812741668515,0.04686414776109936,-0.002219184122145596,0.010563749772720735,0.016867304634058288,0.018616569696246484
2,-10.154675360596325,0.28978500432152116,-0.5379240919805,-0.07131052468797032,-0.022526657596488267,-0.0950323509603415,-0.017418103872519478,0.38329414409009255,-0.2178827920975796,0.012427515514711197,0.08088646601170496,0.09922144516859216,-0.01698815264136134,0.005101178263920841,0.0524772982912439,-0.02077772225121192,-0.0020272224261361645,0.01540604912236683,0.01983308525128821
3,-11.230315417453486,0.251089383462979,-0.6001716496961513,0.09182478493685108,-0.06061715796827019,-0.058732195812969824,-0.010979048623631263,0.5248836907401297,-0.11387003892973682,0.04669669856744738,0.002518161175860523,-0.08987822324510324,-0.010671157129114569,0.012661897890793616,0.07646399024772801,-0.001319997260951411,0.004950127135697113,-0.0009223063593711263,-0.01127459447433199
4,-13.413161568223233,0.2919997839239412,-0.5346174699237554,0.09948031397865811,-0.05390281970490374,0.031092362603796466,-0.13467925597873004,0.3828757590001728,-0.08374860767548932,0.08066928721576867,-0.082801060408009,0.05075053343447183,-0.00081249817801607,-0.007230861463898863,0.04992232470024506,-0.004194406218025941,0.00609585788669331,-0.010151579574752625,0.0067849829562722525
5,-12.426376137054724,0.2615150532987612,-0.582503307269267,-0.047219057429987214,0.0784500864838793,-0.03715331241572097,-0.1867299820158999,0.35980643296098025,-0.05855900993443722,0.09920036719009957,-0.044029449079004024,0.08885230248999146,-0.012580112314128254,-0.011651313730346358,0.04774698831959189,-0.0010524148574695708,0.010903561511736241,-0.0026316944091185983,0.013366297939852534
6,-8.25043777703699,0.2015719533275713,-0.6955698956512603,-0.06282066151450534,-0.011122916124087869,-0.0018356631021533621,-0.058274964783811584,0.5870554997544858,-0.15455918799251062,0.0955418797058561,-0.018673611847161875,0.010115615175427473,-0.003857677010346135,0.007954132026320535,0.09337350027576885,0.00883728815778655,0.01674043954397119,0.004324451750202978,0.005977154011688373
7,-11.105364582995943,0.2883805099394987,-0.5400340945481472,-0.09905999542966411,-0.002538873280002363,-0.05021431760263199,-0.17823682864298165,0.46800570506599015,-0.10721580039225044,-0.09212327133827176,-0.0017468695569294536,-0.0008583386912781155,-0.015580143452354013,-0.007485766132970245,0.06285229031169202,-0.013563433250360477,-0.015807022032440558,-0.0026544575776890444,0.0011528733219887308
8,-11.786290166452382,0.2954479976951887,-0.5295189489670269,0.06458638770692733,0.015064242056538625,0.03576678903324373,-0.065125535568088,0.4322940581088339,-0.19517437503106672,0.07335233394109242,0.0417718713906349,0.07686440716357437,0.003787677754757468,0.0041641406723310955,0.05726324576201151,-0.016479487308241118,0.007928690559525962,0.010317076726352995,0.014419784632520338
9,-15.120167164016538,0.25433052434456926,-0.5946015133639567,-0.0056255474457602705,0.07274391846133586,0.07133210832036918,-0.08409084829253544,0.5704653525973709,-0.06236019144310255,-0.014889437402385797,-0.025847508921005558,-0.09264508711613441,0.0073077562757416226,0.004519047659129407,0.07249121508829638,-0.007431733496141617,-0.009181863059153224,-0.008821723824687856,-0.011101272007437511
10,-13.458880944339283,0.23669331604724864,-0.6258140058849553,-0.008609248410852676,-0.08678528150031095,-0.013784625102296123,-0.04552408490438591,0.6308139919785604,-0.09120604835659152,0.017478869627524454,-0.02944725044221356,-0.07635059967726442,-0.004048893642453366,0.01267787789504304,0.08552928946801344,-0.005078024490303497,-0.0037840362923816256,-0.00813509952055931,-0.009650567101451159
11,-11.403558649895226,0.2494057908383751,-0.6030934670565332,0.09215240934180197,-0.015634322762830423,0.04120117146475702,-0.09706347984583807,0.570116799943184,-0.11787670550939089,0.0008849963841368159,-0.05886756075663599,0.006202553991424842,0.00311001996191885,0.0037850191811317894,0.08056613492748348,-0.002585228314992088,-0.003598686929850758,-0.008579045797680889,0.002039451376847456
12,-15.801363124773633,0.2677362431575915,-0.5722928348723362,0.087614436151386,-0.08361040958617537,0.006176894840665548,-0.04880945345918093,0.5201145529220955,-0.14722382649660262,-0.0023168782757675755,-0.052707091131756936,-0.05142645713636951,-0.0015217814488303898,0.009045314766869738,0.06410035038198766,-0.01990453850689003,-0.008264567239458015,-0.010027087846500535,-0.005366819981539116
13,-9.519038531079122,0.2100169259579372,-0.6777457026284119,0.08112214817619626,-0.03772837215910042,-0.022509235362809778,-0.09433639187565096,0.6062125570004528,-0.10459938640621927,0.007662222715440459,-0.04166322960868244,-0.004166456695447562,-0.008084912927709737,0.011518472547626155,0.09251709234706203,0.0005932608233887576,0.0016287028542058188,-0.005157950123754246,0.0019083448308359148
14,-15.614546478637028,0.2812590031691155,-0.5508935667860553,-0.05331944484933115,0.06742190324453583,0.0915863881291098,-0.08235057828871084,0.39522710936371674,-0.21868237187414752,-0.019700480473507188,-0.03832424455880158,-0.03338747921813935,0.010311879200084995,-0.0001609443637638566,0.04381088084521932,-0.02925602131011535,-0.008222410912351184,-0.00570050494727807,-0.002189834153745225
15,-10.011476488380172,0.2915496254681648,-0.5352875121479747,0.015908784515881205,-0.09583423685296578,0.05007078625222841,-0.12313094090900115,0.388491831944199,-0.13433091999968974,-0.08994663332335265,0.050037172022581934,0.05224869418010008,0.0006458786446579797,-0.00640308505757378,0.053451453470555,-0.010481775280223687,-0.015524027167544288,0.005645695949265967,0.011056883994825547
