env,deep_symbols,seed_ber_deep,best_ber_deep,improve_x
Base_IL10x10,524288,0.000253942437391585,8.998083791826005e-05,2.822183514475272
IL14x14,524288,0.0016166689371479883,0.0006802438737634342,2.376601979822035
IL20x20,524288,0.05962430511229884,0.058700590575813054,1.0157360348068865
IL20x10_TxHeavy,524288,0.0037370772358363926,0.002285878339370642,1.6348539515297655
IL10x20_RxHeavy,524288,0.0008403974566682356,0.00038573504354503824,2.178690971255017
IL16x10,524288,0.0018835690865781625,0.0007514959407327593,2.5064261621181285
IL10x16,524288,0.00039843546744272064,0.0001671064562249995,2.38432120723241
CD15ps,524288,0.0002591067036867703,9.491220165757795e-05,2.7299619981587773
CD28ps,524288,0.000282387483827449,0.00011175222638407614,2.5269070063707217
DGD2ps,524288,0.00020376181717372138,9.286471934266155e-05,2.19417900162774
DGD5ps,524288,0.00021447161652714063,9.58678428237395e-05,2.237159095375322
Comb_IL20x20_CD15_DGD5,524288,0.07570763540314858,0.07828407034366695,0.9670886435872863
Comb_IL20x10_CD15_DGD5,524288,0.0035746685765305846,0.002702246367586745,1.322850728715369
HighNoise_IL10x10,524288,0.0004183379730083212,0.00016547814956023696,2.528055662454932
HighNoise_IL16x16,524288,0.00268713458858215,0.00209453091372634,1.2829290658697035
