env,step,x_shape,taps,gdc,gdc2,gain,gain_ratio,drive_rms,pred_b_ber,allowed_ber,stop_reason,pred_a,pred_b,real_lb,real_ber,grad_norm
CD15ps,0,"[-0.0262809035873494, -0.29342460740513626, 0.0033384905528300104, 0.05699988985050288, -0.03104909795555753, -0.298388929949062]","[-0.026281, -0.293425, 0.619956, 0.003338, 0.057]",-0.03104909795555753,-0.298388929949062,0.25354060730607647,0.5787277044192569,0.13499999999999998,0.00022212912875595064,0.0003865545004650263,,-3.846022738065349,-3.653394486798293,-3.7487701238234656,0.0001783322447113484,10.48026012795976
CD15ps,1,"[-0.01841100528092785, -0.28917415283018805, 0.00659514788803426, 0.05513373885073211, -0.08956900767989139, -0.5834440477172856]","[-0.018411, -0.289174, 0.630686, 0.006595, 0.055134]",-0.08956900767989139,-0.5834440477172856,0.2506277707260005,0.5720789105820601,0.13499999999999998,0.00018475896444648926,0.0003865545004650263,,-3.879702846448294,-3.7333944805910884,-3.7504437242818156,0.0001776463446850666,4.841823923089015
CD15ps,2,"[-0.015366756433758634, -0.2953406380687463, 0.00772517599350016, 0.048812399891301934, -0.1459500350904807, -0.8600259210353438]","[-0.015367, -0.295341, 0.632755, 0.007725, 0.048812]",-0.1459500350904807,-0.8600259210353438,0.2530332477010082,0.5775696135608496,0.135,0.00018174790423205225,0.0003865545004650263,,-3.903279893485726,-3.740530588368252,-3.7504437242818156,0.0001776463446850666,1.0398201318480507
CD15ps,3,"[-0.012261271765406848, -0.29963166041446826, 0.007336137169818066, 0.04139020739247015, -0.16229931231160666, -1.1333392605889718]","[-0.012261, -0.299632, 0.639381, 0.007336, 0.04139]",-0.16229931231160666,-1.1333392605889718,0.25297250046062997,0.5774309528889066,0.135,0.00017800028998426703,0.0003865545004650263,,-3.9321002161859626,-3.749579290171643,-3.7589119175398467,0.00017421601778897202,1.240558345593643
CD15ps,4,"[-0.011274433285716813, -0.3, 0.005812102848765346, 0.03360892402734044, -0.1714907459452875, -1.398768007896324]","[-0.011274, -0.3, 0.649305, 0.005812, 0.033609]",-0.1714907459452875,-1.398768007896324,0.25127393147027455,0.5735538266840323,0.13499999999999998,0.0001746691216966722,0.0003865545004650263,,-3.9632282280359643,-3.7577838635461,-3.759888257163128,0.00017382480178955342,1.459445694687446
CD15ps,5,"[-0.011918923270027384, -0.3, 0.004371885802017932, 0.025906326737888067, -0.18696083696339155, -1.655923306703164]","[-0.011919, -0.3, 0.657803, 0.004372, 0.025906]",-0.18696083696339155,-1.655923306703164,0.25003902013068996,0.5707350379609449,0.135,0.0001741426229418852,0.0003865545004650263,,-3.997029986949064,-3.7590949184695477,-3.761524035328042,0.00017317131892230112,1.6628747095755478
CD15ps,6,"[-0.011394062342504644, -0.3, 0.004000604146858942, 0.0177499054559215, -0.20535424917384837, -1.90513706008938]","[-0.011394, -0.3, 0.666855, 0.004001, 0.01775]",-0.20535424917384837,-1.90513706008938,0.2483403572258123,0.5668576973882956,0.135,0.0001711616501408157,0.0003865545004650263,,-4.031906621768105,-3.766593535207525,-3.761524035328042,0.00017317131892230112,1.6372125559661321
CD15ps,7,"[-0.01162850897968668, -0.3, 0.003991396205661106, 0.00967840404499125, -0.22430814126629797, -2.1467897342852233]","[-0.011629, -0.3, 0.674702, 0.003991, 0.009678]",-0.22430814126629797,-2.1467897342852233,0.24689660863848853,0.5635622201289399,0.13499999999999998,0.0001698415916663097,0.0003865545004650263,,-4.064364857578754,-3.7699559488429037,-3.7519756415115317,0.0001770208242074492,1.5422850814917148
CD15ps,8,"[-0.011048181910486305, -0.2974170664409963, 0.005070415325449298, 0.0023809553258890732, -0.23886612002657512, -2.381461620258079]","[-0.011048, -0.297417, 0.684083, 0.00507, 0.002381]",-0.23886612002657512,-2.381461620258079,0.24421526451633774,0.5574418272456921,0.135,0.0001637901256068838,0.0003865545004650263,,-4.093253971895265,-3.785712284039012,-3.761524035328042,0.00017317131892230112,1.4105329725488767
CD15ps,9,"[-0.013824439500987504, -0.29464295660118606, 0.005506996720451941, -0.004115292154594882, -0.2520147369607766, -2.609151601376246]","[-0.013824, -0.294643, 0.68191, 0.005507, -0.004115]",-0.2520147369607766,-2.609151601376246,0.24581074247878418,0.5610836395315777,0.135,0.00016349831566665955,0.0003865545004650263,,-4.1182460796118825,-3.7864867170125227,-3.7699922285860734,0.0001698274041686118,1.2609839219661538
CD15ps,10,"[-0.012827103217767777, -0.28902061573083077, 0.007579430098945549, -0.00829608844957102, -0.25441502793947685, -2.830365817616127]","[-0.012827, -0.289021, 0.682277, 0.007579, -0.008296]",-0.25441502793947685,-2.830365817616127,0.245539939840394,0.5604655097931842,0.135,0.00015401012576899672,0.0003865545004650263,,-4.139318556720487,-3.8124507244815056,-3.7604438347695637,0.00017360257602719968,1.3419390770378121
