sample_id,ctle_dc,mlse_ber,log10_ber,ffe_tap_0,ffe_tap_1,ffe_tap_2,ffe_tap_3,ffe_tap_4,ffe_tap_5,ffe_tap_6,ffe_tap_7,ffe_tap_8,tx_fir_0,tx_fir_1,tx_fir_2,tx_fir_3,tx_fir_4,tx_fir_5,tx_fir_6
0,-6.521281136326758,0.32086394410832614,-0.4936790823889615,0.1871323180328969,-0.13671504108024476,-0.09899848054796595,-0.16114223215447207,0.19999999999999996,-0.07145200863381941,-0.053098602932701564,-0.08423967019545466,0.007221646422444735,-0.00039686296632351166,-0.02845320605687695,-0.03698892680069522,0.008089946698851326,0.005334674286770479,-0.01574630291723462,-0.021926513487825733
1,-12.19063817256104,0.3290208153269951,-0.4827766257713262,0.05025149069286655,-0.12167982078618512,0.18321404140916522,0.08239167049930057,0.20000000000000007,0.007931523008961303,0.09407862952080216,0.16973061644796442,-0.09072220763475458,0.023004799433066665,0.022617429811389603,0.03143513726048298,0.009612666556035548,0.016645021826700458,0.025920964056429976,-0.005693793398819765
2,-9.024667210037272,0.33465679919331603,-0.4754003470473272,0.013712968373057523,-0.03959197744491352,0.1567160293692156,-0.14202660702002984,0.19999999999999996,-0.07726716220042748,-0.031512668774994555,0.1396261160807895,-0.19954647073657195,0.0010069043375805693,0.013087719982645109,-0.027921682128673596,0.0,0.0,0.0,0.0
3,-18.631894713590842,0.3235919043503313,-0.49000235213998367,0.04434777625023908,-0.14913794833240326,-0.13133870361318706,0.051073998336008904,0.19999999999999996,0.19076225362166196,-0.060043377071241875,0.07197678109150613,0.10131916168375175,-0.010161797123794511,0.0196847603149799,0.033235321737099005,0.014937794162202717,-0.012600166602323255,0.008455493866010503,0.008861447155912939
4,-1.258322598013951,0.2707523048112936,-0.567427837703321,0.011871297435101342,-0.05403983928158978,-0.14288029009532452,0.1273461294284828,0.19999999999999996,0.14186435361540078,0.10018519170104728,0.13877524097793836,0.08303765746511522,0.0016151070975930406,0.06419770272783687,0.08377550914990751,0.07785015524483802,0.08032628251520993,0.07218193411885503,0.04395035379046218
5,-14.216648508565921,0.3268780610774993,-0.4856142267818684,0.07700960655779514,0.11341848737329774,-0.19820029302570685,0.004180067009283258,0.19999999999999996,-0.18642527200352446,-0.13568325923032526,0.019646414986565882,-0.06543659981350147,0.016874606555612615,0.008744877241093464,-0.032268272259665186,-0.012390222472897035,0.000814625303857024,-0.005439562262509323,0.0
6,-7.185652361064815,0.3118337654854509,-0.5060768610199781,-0.16009150975305708,0.11209555231582144,-0.0840828087789044,0.04748096282951528,0.19999999999999984,-0.06269756363566359,0.14484704736971962,0.11964320967622791,0.06906134564109077,0.024422993285576736,0.013772325958537088,0.03669015921185702,0.03247634366372698,0.01859908104971915,0.0,0.0
7,-12.854085286437247,0.3226735811005474,-0.4912365910012304,0.13285660764219942,0.1363123989707738,0.10076601051703872,-0.10406978264059351,0.19999999999999996,0.1046878497344864,-0.026449379382732615,-0.1403570205924051,0.054500950519770434,0.00613542743967461,-0.002977882379424343,0.032773871921149084,0.012276312571671503,-0.011906372347030597,-0.015334531102462887,0.009294931095873945
8,-5.786643135403274,0.30523444252376836,-0.5153664623487255,0.15207967425615174,-0.02274405075800349,0.0003900072822707941,-0.10510575195031605,0.20000000000000007,-0.17641313344352452,0.11335235772721358,0.09790728515404962,0.13200773942847016,0.010291156345486038,0.03040826354563592,0.03920558789993437,0.020201220372983872,0.0,0.0,0.0
9,-13.035010447751034,0.3234208441371363,-0.4902319936998089,-0.13405431786285585,0.15896414876204282,-0.050874815640648295,0.17631987354343415,0.19999999999999996,0.0059332132990634135,0.10333969297525535,-0.12238835103922581,-0.04812558687747438,0.012227752777019655,0.011852166248381311,0.035339271805861494,0.017896043039608144,0.007480421121396826,-0.0035898845849267787,-0.016326030782608265
10,-8.721180059021204,0.3048563094209162,-0.5159048122269975,-0.18150013854823616,-0.1674142221666464,0.028842793116522335,-0.06915855195578262,0.19999999999999996,-0.17268431715147275,-0.13294999632259724,0.021673143378383296,0.025776837360359166,-0.0007701910258253044,-0.02000431115968998,-0.042330363574044634,-0.02343258818116477,-0.0075549100608404505,0.00870954052048524,0.004228442934153518
11,-8.162722415618454,0.30793539325842695,-0.5115403915987783,-0.14066464552177585,0.18978871966261285,-0.009683324991427518,-0.04427972326619982,0.19999999999999984,0.056898310588406116,0.1411048500107482,0.12397127657645635,-0.09360914938237343,5.92497506068587e-05,0.0067770024720409765,0.03700885373534895,0.026504799621957828,0.036967298571620885,0.022951574145802827,-0.0069600925033086805
12,-2.7375851952983545,0.3092048401037165,-0.5097537165199356,0.13338407072442335,-0.09339894014240342,0.15189756632356585,-0.09239042781132807,0.19999999999999996,0.018346023880953955,0.051913344968570106,-0.1026475251820454,-0.1560221009667099,0.029039906188717917,0.00813790139187317,0.0514671334806303,0.030809692213909147,0.019751948249010064,-0.025553775968472643,-0.04314772903253295
13,-6.114939908192445,0.3250954335926246,-0.4879891307175101,0.12265820219734223,0.12284413190206697,-0.06421574965094762,-0.13988873988247216,0.19999999999999996,-0.05064295943319112,-0.026008878363113518,-0.1404421384003068,0.1332992001705596,0.0009743260966848185,0.01832257667692607,0.03551664100566679,0.013526532764104128,-0.02033623059875392,0.00826362669259055,0.01927216306689139
